#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.017192    0.017192           0
           2     0.00544    0.011316  0.00415496
           3   -0.016394  0.00207933  0.00803431
           4    0.010272   0.0041275  0.00628137
           5   -0.014762   0.0003496  0.00605555
           6     0.01683  0.00309633   0.0056349
           7     0.00268  0.00303686  0.00483023
           8     0.00088  0.00276725  0.00423397
           9   -0.006462  0.00174178  0.00388573
          10   -0.008014   0.0007662  0.00361755
          11    0.002498 0.000923636  0.00329211
          12   -0.009928 1.93333e-05  0.00313951
          13   -0.000954-5.55385e-05   0.0028989
          14    0.001272 3.92857e-05  0.00269339
          15    0.004362 0.000327467   0.0025292
          16    0.002096    0.000438  0.00237354
          17    0.000512 0.000442353  0.00223392
          18   -0.000368 0.000397333  0.00211027
          19    -0.00036 0.000357474  0.00199958
          20   -0.002952    0.000192  0.00190643
