#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.024732    0.024732           0
           2   -0.285394   -0.130331    0.109646
           3   -0.130784   -0.130482   0.0730975
           4     -0.0772   -0.117162   0.0560237
           5     0.11645  -0.0704392    0.061279
           6     0.18405  -0.0280243   0.0640851
           7     0.05201  -0.0165909   0.0559407
           8    0.126598  0.00130775   0.0517324
           9    0.051124  0.00684289   0.0462795
          10   -0.335004  -0.0273418   0.0527881
          11   -0.209566  -0.0439076   0.0505217
          12     0.41637 -0.00555117   0.0591048
          13    0.001158 -0.00503508   0.0545605
          14   -0.008714 -0.00529786    0.050664
          15    0.005248  -0.0045948   0.0472913
          16    0.039004 -0.00186988    0.044414
          17    0.001568 -0.00166765   0.0418019
          18    0.060984    0.001813   0.0396242
          19   -0.010252    0.001178   0.0375438
          20   -0.151284  -0.0064451   0.0364323
