#   N_BLOCK:  ACCEPTANCE:
           1    0.533495
           2    0.534135
           3    0.533926
           4    0.534014
           5    0.534031
           6    0.533854
           7    0.533733
           8     0.53374
           9    0.533601
          10    0.533743
          11    0.533673
          12    0.533531
          13    0.533517
          14    0.533598
          15    0.533582
          16    0.533567
          17    0.533576
          18    0.533567
          19    0.533482
          20    0.533476
