#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.46271    -0.46271           0
           2   -0.460829   -0.461769 0.000665105
           3   -0.463426   -0.462322 0.000632415
           4   -0.462787   -0.462438 0.000484919
           5   -0.463669   -0.462684 0.000446039
           6   -0.463734   -0.462859  0.00040454
           7    -0.46401   -0.463023 0.000378691
           8    -0.46387   -0.463129  0.00034582
           9   -0.464786   -0.463313 0.000353023
          10   -0.460485   -0.463031 0.000415864
          11   -0.464223   -0.463139 0.000391924
          12   -0.464159   -0.463224 0.000368363
          13   -0.463765   -0.463266 0.000342375
          14   -0.463522   -0.463284 0.000318409
          15    -0.46294   -0.463261 0.000298007
          16   -0.463566    -0.46328 0.000279991
          17   -0.463759   -0.463308 0.000264934
          18   -0.463083   -0.463296 0.000250512
          19   -0.464357   -0.463352  0.00024348
          20    -0.46241   -0.463304 0.000235815
