#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35067     1.35067           0
           2     1.36591     1.35829  0.00538815
           3     1.37364     1.36341  0.00551011
           4      1.3729     1.36578  0.00461562
           5     1.38521     1.36967   0.0050709
           6     1.38519     1.37226  0.00484067
           7     1.39443     1.37542  0.00508103
           8      1.3558     1.37297  0.00500296
           9     1.41631     1.37779  0.00635538
          10     1.34814     1.37482  0.00637399
          11     1.37112     1.37448  0.00580342
          12     1.39073     1.37584  0.00547539
          13     1.38733     1.37672  0.00512509
          14     1.37544     1.37663  0.00475983
          15     1.36628     1.37594  0.00449225
          16     1.38258     1.37636  0.00423062
          17     1.40302     1.37792  0.00426257
          18     1.41733     1.38011  0.00455326
          19     1.37428     1.37981  0.00432396
          20     1.36976      1.3793  0.00413681
