#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        5.76        5.76           0
           2        0.36        3.06     1.90919
           3           1     2.37333     1.39081
           4        0.04        1.79       1.159
           5        0.36       1.504    0.961838
           6        0.64        1.36     0.81224
           7        2.56     1.53143    0.714067
           8           1       1.465    0.627891
           9        0.36     1.34222    0.570003
          10        1.96       1.404    0.516339
          11           0     1.27636    0.484918
          12        0.04     1.17333    0.455322
          13        0.16     1.09538    0.426918
          14        3.24     1.24857    0.423015
          15        2.56       1.336    0.403748
          16           1       1.315    0.379059
          17        0.16     1.24706    0.362799
          18           0     1.17778    0.349196
          19           0     1.11579    0.336274
          20        0.16       1.068    0.322839
          21        3.24     1.17143    0.323609
          22           1     1.16364    0.308994
          23           4     1.28696    0.319221
          24        1.44     1.29333    0.305984
          25           4      1.4016    0.312311
          26           1     1.38615    0.300681
          27        0.64     1.35852    0.290812
          28        0.64     1.33286    0.281556
          29        0.16     1.29241    0.274736
          30        0.04     1.25067    0.268732
          31        1.44     1.25677    0.260132
          32        1.44      1.2625    0.252066
          33        0.04     1.22545    0.247135
          34           1     1.21882    0.239955
          35           1     1.21257    0.233181
          36        0.16     1.18333    0.228529
          37        1.44     1.19027    0.222458
          38        0.16     1.16316     0.21825
          39        0.36     1.14256    0.213623
          40        0.04       1.115    0.210053
          41        0.04     1.08878     0.20656
          42           0     1.06286    0.203262
          43        2.56     1.09767    0.201495
          44        1.44     1.10545    0.197066
          45           1     1.10311      0.1927
          46        0.04        1.08    0.189892
          47        1.96     1.09872    0.186773
          48        0.64     1.08917    0.183126
          49        0.04     1.06776    0.180636
          50        0.16      1.0496    0.177933
          51        0.04      1.0298    0.175542
          52        0.04     1.01077    0.173195
          53           0    0.991698    0.170974
          54        0.36        0.98    0.168208
          55        0.36    0.968727    0.165527
          56           1    0.969286    0.162572
          57        0.64    0.963509    0.159822
          58        0.04    0.947586    0.157858
          59           1    0.948475    0.155185
          60        0.16    0.935333    0.153154
          61        0.16    0.922623     0.15117
          62        1.44    0.930968    0.148961
          63           1    0.932063    0.146601
          64        1.44        0.94    0.144525
          65        1.96    0.955692    0.143151
          66        0.04    0.941818    0.141653
          67        0.36    0.933134    0.139804
          68        0.36    0.924706    0.138002
          69        2.56    0.948406    0.138022
          70           1    0.949143    0.136053
          71           0    0.935775    0.134792
          72           0    0.922778    0.133545
          73        0.16    0.912329    0.132123
          74           0         0.9    0.130912
          75        0.16    0.890133    0.129538
          76        0.04    0.878947    0.128315
          77        0.16     0.86961    0.126988
          78        0.04    0.858974    0.125805
          79        0.64    0.856203    0.124243
          80        0.04       0.846    0.123108
          81        0.64    0.843457    0.121614
          82        0.16    0.835122    0.120416
          83        1.44     0.84241    0.119186
          84        5.76    0.900952     0.13136
          85           0    0.890353    0.130242
          86        5.76    0.946977    0.140498
          87        1.96    0.958621    0.139365
          88           1    0.959091    0.137782
          89        0.64    0.955506    0.136281
          90        0.64       0.952    0.134811
          91        1.44    0.957363    0.133437
          92           0    0.946957    0.132391
          93        0.16    0.938495    0.131238
          94        0.36     0.93234    0.129986
          95        0.16    0.924211    0.128872
          96        0.36    0.918333    0.127663
          97        0.04    0.909278    0.126668
          98        0.16    0.901633    0.125606
          99           1    0.902626    0.124341
         100        0.36      0.8972    0.123216
         101        0.04    0.888713    0.122288
         102        0.36    0.883529    0.121199
         103        0.04     0.87534    0.120298
         104           0    0.866923    0.119436
         105           0    0.858667    0.118583
         106        0.04    0.850943    0.117716
         107        0.04    0.843364     0.11686
         108           1    0.844815    0.115786
         109        0.64    0.842936    0.114739
         110        0.04    0.835636    0.113928
         111        0.36    0.831351    0.112982
         112        1.44    0.836786    0.112104
         113        0.36    0.832566    0.111192
         114        2.56    0.847719    0.111244
         115        3.24    0.868522    0.112205
         116        0.36    0.864138    0.111323
         117        1.44     0.86906     0.11048
         118        1.44    0.873898     0.10965
         119        1.96    0.883025    0.109108
         120        5.76    0.923667     0.11552
         121        0.64    0.921322    0.114589
         122        1.44    0.925574    0.113729
         123        4.84    0.957398    0.117172
         124        1.44     0.96129    0.116292
         125        1.44     0.96512    0.115425
         126        1.96    0.973016    0.114778
         127           1    0.973228    0.113875
         128           0    0.965625    0.113239
         129        1.96    0.973333    0.112623
         130        0.16    0.967077     0.11193
         131        0.16    0.960916    0.111245
         132        0.64    0.958485    0.110429
         133        0.16    0.952481    0.109762
         134        0.36     0.94806    0.109032
         135        1.44    0.951704    0.108285
         136        1.96    0.959118    0.107742
         137        0.16    0.953285    0.107114
         138        0.16    0.947536    0.106492
         139        1.44    0.951079    0.105784
         140        0.64    0.948857    0.105052
         141        0.36    0.944681     0.10439
         142        0.36    0.940563    0.103736
         143        0.64    0.938462    0.103032
         144        1.44    0.941944    0.102375
         145        0.36    0.937931    0.101748
         146        1.44     0.94137    0.101109
         147           1    0.941769    0.100422
         148           1    0.942162   0.0997442
         149        0.64    0.940134   0.0990954
         150        0.04    0.934133   0.0986163
         151        0.36    0.930331   0.0980365
         152        0.16    0.925263   0.0975224
         153        0.36    0.921569    0.096955
         154        0.36    0.917922   0.0963939
         155        0.04    0.912258   0.0959383
         156        0.64    0.910513   0.0953392
         157        0.04    0.904968    0.094893
         158        0.16    0.900253   0.0944095
         159        0.64    0.898616   0.0938299
         160        0.04     0.89325   0.0933968
         161        0.64    0.891677     0.09283
         162        0.64    0.890123   0.0922699
         163        0.16    0.885644   0.0918125
         164        0.36    0.882439   0.0913086
         165        0.04    0.877333   0.0908979
         166        0.36    0.874217   0.0904037
         167        1.44    0.877605   0.0899258
         168        0.36    0.874524   0.0894433
         169           0    0.869349   0.0890636
         170        0.16    0.865176   0.0886374
         171        0.04    0.860351   0.0882503
         172           0    0.855349   0.0878789
         173        0.64    0.854104   0.0873797
         174        0.04    0.849425   0.0870027
         175        0.36    0.846629   0.0865505
         176        0.16    0.842727   0.0861466
         177        0.04    0.838192   0.0857792
         178        0.64    0.837079   0.0853045
         179        0.64    0.835978   0.0848351
         180        0.64    0.834889   0.0843707
         181        0.04    0.830497   0.0840188
         182        0.16    0.826813   0.0836379
         183        0.16    0.823169   0.0832602
         184        0.04    0.818913   0.0829164
         185           1    0.819892    0.082474
         186           0    0.815484   0.0821483
         187           1    0.816471    0.081715
         188        1.44    0.819787   0.0813476
         189        4.84    0.841058   0.0836519
         190        1.96    0.846947   0.0834187
         191        2.56    0.855916   0.0834627
         192        0.36    0.853333    0.083068
         193           0    0.848912   0.0827552
         194        0.04    0.844742   0.0824336
         195        0.04    0.840615   0.0821141
         196        0.16    0.837143   0.0817685
         197        0.36    0.834721   0.0813893
         198        0.16    0.831313   0.0810496
         199        1.44    0.834372      0.0807
         200        0.64      0.8334   0.0803023
         201        0.64    0.832438   0.0799086
         202        0.36    0.830099   0.0795472
         203        0.36    0.827783    0.079189
         204        0.36     0.82549   0.0788341
         205        0.16    0.822244   0.0785163
         206           1    0.823107   0.0781399
         207           0     0.81913   0.0778635
         208        0.04    0.815385   0.0775792
         209        0.16    0.812249   0.0772714
         210        1.44    0.815238   0.0769612
         211        0.04    0.811564   0.0766841
         212        0.36    0.809434    0.076352
         213        0.36    0.807324   0.0760227
         214           0    0.803551    0.075761
         215        0.04         0.8   0.0754918
         216        3.24    0.811296   0.0759828
         217           1    0.812166   0.0756376
         218        0.04    0.808624   0.0753735
         219        0.36    0.806575   0.0750572
         220           4    0.821091   0.0761067
         221           4    0.835475   0.0771096
         222        3.24    0.846306   0.0775193
         223        0.64    0.845381   0.0771772
         224        0.36    0.843214    0.076863
         225        0.04    0.839644   0.0766043
         226           1    0.840354   0.0762686
         227           0    0.836652   0.0760224
         228        0.04    0.833158   0.0757692
         229        1.96    0.838079    0.075598
         230        0.36       0.836   0.0752979
         231        0.16    0.833074   0.0750287
         232        0.36    0.831034    0.074733
         233        0.64    0.830215   0.0744168
         234           4    0.843761   0.0753216
         235           1    0.844426    0.075004
         236        1.44    0.846949   0.0747286
         237           1    0.847595   0.0744161
         238        1.96    0.852269   0.0742501
         239           1    0.852887    0.073942
         240        0.16        0.85   0.0736902
         241           0    0.846473   0.0734688
         242           1    0.847107    0.073168
         243        1.44    0.849547   0.0729075
         244        0.36    0.847541   0.0726363
         245        0.16    0.844735    0.072394
         246           1    0.845366   0.0721025
         247        3.24    0.855061   0.0724595
         248        0.36    0.853065   0.0721948
         249        0.36    0.851084    0.071932
         250        1.96     0.85552   0.0717809
         251           4    0.868048   0.0725799
         252           4    0.880476   0.0733483
         253        0.04    0.877154   0.0731335
         254        0.36    0.875118    0.072874
         255        0.04    0.871843   0.0726617
         256        0.04    0.868594   0.0724505
         257           0    0.865214   0.0722474
         258        0.36    0.863256   0.0719939
         259        0.64    0.862394   0.0717211
         260        0.04    0.859231    0.071515
         261        0.16    0.856552   0.0712911
         262        0.16    0.853893   0.0710686
         263           0    0.850646   0.0708725
         264        0.04    0.847576   0.0706705
         265        0.64    0.846792   0.0704082
         266        2.56    0.853233   0.0704374
         267           1    0.853783   0.0701758
         268        3.24    0.862687   0.0704765
         269        0.64    0.861859   0.0702194
         270        0.36        0.86   0.0699839
         271        0.04    0.856974    0.069791
         272        0.04    0.853971    0.069599
         273           0    0.850842   0.0694144
         274        0.16    0.848321   0.0692068
         275           0    0.845236   0.0690239
         276        0.36    0.843478   0.0687962
         277        1.44    0.845632   0.0685815
         278        0.36    0.843885    0.068357
         279        0.16    0.841434    0.068156
         280        0.16       0.839    0.067956
         281           1    0.839573   0.0677166
         282           1    0.840142   0.0674788
         283        2.56    0.846219   0.0675135
         284        5.76    0.863521   0.0694574
         285        2.56    0.869474   0.0694683
         286        1.44    0.871469   0.0692541
         287        0.04    0.868571   0.0690733
         288        0.04    0.865694   0.0688934
         289           0    0.862699   0.0687201
         290        0.04    0.859862   0.0685417
         291        0.36    0.858144   0.0683276
         292        0.04    0.855342   0.0681511
         293           0    0.852423    0.067981
         294        0.16    0.850068   0.0677905
         295        1.44    0.852068   0.0675902
         296        0.36    0.850405   0.0673823
         297        0.36    0.848754   0.0671757
         298        0.04     0.84604    0.067005
         299        0.04    0.843344   0.0668351
         300        1.44    0.845333    0.066642
         301           1    0.845847   0.0664225
         302        3.24    0.853775    0.066674
         303        0.16    0.851485   0.0664933
         304           1    0.851974   0.0662763
         305        0.36    0.850361   0.0660787
         306        0.64    0.849673   0.0658663
         307        0.36    0.848078    0.065671
         308        0.36    0.846494   0.0654769
         309        1.96    0.850097   0.0653641
         310        1.44       0.852    0.065181
         311        2.56    0.857492   0.0652023
         312        1.96    0.861026    0.065089
         313        0.36    0.859425   0.0649008
         314           1    0.859873   0.0646956
         315        0.16    0.857651   0.0645284
         316           0    0.854937   0.0643812
         317        1.96    0.858423   0.0642724
         318           4    0.868302   0.0648251
         319        3.24    0.875737   0.0650469
         320        2.56       0.881   0.0650562
         321        4.84    0.893333   0.0660123
         322        5.76    0.908447   0.0675153
         323        3.24    0.915666    0.067691
         324        6.76    0.933704   0.0698441
         325           9    0.958523   0.0739076
         326           9     0.98319   0.0776883
         327        7.84     1.00416   0.0802307
         328           4     1.01329   0.0805043
         329        1.96     1.01617    0.080311
         330        0.16     1.01358   0.0801096
         331           0     1.01051    0.079926
         332        0.04     1.00759   0.0797387
         333        0.36     1.00565    0.079523
         334        0.36     1.00371   0.0793084
         335        0.64     1.00263   0.0790791
         336        0.16     1.00012   0.0788835
         337           0    0.997151   0.0787052
         338           0    0.994201   0.0785276
         339        0.64    0.993156   0.0783029
         340        1.44    0.994471   0.0780837
         341        0.16    0.992023    0.077893
         342        0.64    0.990994   0.0776721
         343        1.44    0.992303   0.0774566
         344        0.36    0.990465   0.0772533
         345        0.04     0.98771   0.0770785
         346        2.56    0.992254   0.0769895
         347        2.56    0.996772   0.0769001
         348        0.64    0.995747    0.076686
         349        2.56     1.00023   0.0765971
         350        1.96     1.00297   0.0764273
         351        0.04     1.00023   0.0762588
         352        0.16    0.997841   0.0760795
         353           0    0.995014   0.0759165
         354        0.16    0.992655   0.0757387
         355        0.64    0.991662   0.0755318
         356        0.64    0.990674   0.0753261
         357        0.16    0.988347   0.0751511
         358        0.04    0.985698   0.0749878
         359        0.04    0.983064   0.0748252
         360           0    0.980333   0.0746672
         361        0.64    0.979391   0.0744663
         362        3.24    0.985635    0.074522
         363           9     1.00771   0.0775182
         364        4.84     1.01824   0.0780169
         365        4.84     1.02871   0.0785026
         366           1     1.02863   0.0782882
         367        1.44     1.02975   0.0780829
         368        1.44     1.03087   0.0778787
         369        4.84     1.04119   0.0783488
         370           9      1.0627    0.081036
