#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.017018    0.017018           0
           2     0.01968    0.018349 0.000941159
           3    0.024888   0.0205287  0.00188706
           4   -0.020394    0.010298  0.00897234
           5   -0.013242     0.00559   0.0083219
           6    -0.00604  0.00365167   0.0071571
           7    0.004984    0.003842  0.00613719
           8    0.024676  0.00644625  0.00589675
           9   -0.007574  0.00488844  0.00544344
          10    -0.00903   0.0034966  0.00507392
          11   -0.005594  0.00267018  0.00467947
          12    0.007302  0.00305617   0.0043054
          13    0.017078  0.00413477   0.0041071
          14    0.015322  0.00493386   0.0038907
          15   -0.020662  0.00322747    0.003988
          16    0.002592  0.00318775  0.00373895
          17    -0.01735  0.00197965  0.00370905
          18    -0.00987  0.00132133  0.00356094
          19   -0.025888-0.000110737  0.00365014
          20    -0.02148  -0.0011792  0.00362064
