#   N_BLOCK:  ACCEPTANCE:
           1    0.026942
           2   0.0264945
           3    0.027802
           4   0.0281975
           5    0.027548
           6   0.0274527
           7   0.0280183
           8   0.0275178
           9   0.0271209
          10    0.026531
          11   0.0260822
          12   0.0260273
          13   0.0261521
          14   0.0264238
          15   0.0260526
          16   0.0257579
          17   0.0253942
          18   0.0258413
          19    0.025766
          20   0.0259457
