#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         192        7.84     1.45354    0.133564
         193        3.24      1.4628    0.133192
         194        0.64     1.45856    0.132573
         195           1     1.45621    0.131914
         196        0.36     1.45061     0.13136
         197        4.84     1.46782    0.131815
         198           4     1.48061    0.131768
         199        3.24     1.48945    0.131402
         200        4.84      1.5062    0.131809
         201        1.96     1.50846    0.131172
         202           0     1.50099    0.130735
         203        0.04     1.49379    0.130289
         204           0     1.48647    0.129856
         205        0.16        1.48    0.129384
         206        0.16     1.47359    0.128914
         207        0.64     1.46957    0.128355
         208           1     1.46731    0.127757
         209        0.04     1.46048    0.127328
         210        0.36     1.45524     0.12683
         211        0.04     1.44853    0.126406
         212           1     1.44642    0.125827
         213           4      1.4584    0.125807
         214        5.76      1.4785    0.126814
         215        2.56     1.48353    0.126324
         216        0.16     1.47741    0.125888
         217           1     1.47521    0.125327
         218        1.96     1.47743    0.124772
         219        1.44     1.47726    0.124202
         220        0.64     1.47345    0.123696
         221           0     1.46679    0.123316
         222        0.36      1.4618    0.122861
         223           0     1.45525    0.122485
         224        1.96      1.4575    0.121959
         225        1.44     1.45742    0.121417
         226           1      1.4554    0.120896
         227           0     1.44899    0.120534
         228        0.36     1.44421      0.1201
         229        0.36     1.43948    0.119668
         230           1     1.43757    0.119163
         231        3.24     1.44537    0.118903
         232        4.84        1.46    0.119287
         233        2.56     1.46472    0.118869
         234        5.76     1.48308    0.119769
         235           1     1.48102    0.119277
         236        0.36     1.47627    0.118867
         237        0.36     1.47156    0.118458
         238        1.44     1.47143    0.117961
         239           1     1.46946    0.117484
         240        1.44     1.46933    0.116994
         241           1     1.46739    0.116525
         242        3.24     1.47471    0.116273
         243        3.24     1.48198    0.116022
         244           1        1.48    0.115563
         245        1.96     1.48196    0.115108
         246        2.56     1.48634    0.114723
         247        0.16     1.48097    0.114384
         248        0.04     1.47516    0.114071
         249        0.04      1.4694    0.113758
         250        0.16     1.46416    0.113424
         251        0.36     1.45976    0.113057
         252        1.96     1.46175    0.112626
         253        0.64      1.4585    0.112227
         254        6.76     1.47937     0.11371
         255       10.24     1.51373     0.11834
         256        1.96     1.51547    0.117891
         257        4.84      1.5284     0.11814
         258        3.24     1.53504    0.117868
         259           1     1.53297    0.117431
         260        0.16     1.52769    0.117098
         261           4     1.53716    0.117032
         262        6.76      1.5571    0.118271
         263        3.24      1.5635    0.117994
         264        5.76     1.57939    0.118613
         265           1     1.57721    0.118185
         266        2.56      1.5809    0.117799
         267           1     1.57873    0.117378
         268           0     1.57284    0.117087
         269        0.04     1.56714    0.116791
         270        0.04     1.56148    0.116495
         271        0.64     1.55808    0.116115
         272        0.64     1.55471    0.115737
         273        1.44     1.55429    0.115314
         274        4.84     1.56628    0.115515
         275       12.96     1.60771    0.122299
         276           4     1.61638    0.122163
         277           4     1.62498    0.122025
         278        1.96     1.62619    0.121592
         279        3.24     1.63197    0.121293
         280        1.44     1.63129    0.120862
         281        0.16     1.62605    0.120545
         282        0.36     1.62156    0.120202
         283        0.04     1.61597    0.119907
         284        0.36     1.61155    0.119566
         285        0.36     1.60716    0.119227
         286        0.16      1.6021    0.118917
         287        0.04     1.59666    0.118628
         288        0.64     1.59333    0.118262
         289           1     1.59128    0.117871
         290        0.04     1.58593    0.117586
         291        0.16     1.58103    0.117284
         292        0.64     1.57781    0.116926
         293        0.16     1.57297    0.116627
         294           1     1.57102    0.116247
         295        3.24     1.57668     0.11599
         296        1.44     1.57622      0.1156
         297           1     1.57428    0.115227
         298        0.64     1.57114    0.114883
         299           0     1.56589    0.114618
         300        4.84      1.5768    0.114755
         301        1.96     1.57807    0.114381
         302        0.36     1.57404    0.114073
         303        0.64     1.57096    0.113738
         304        0.04     1.56592    0.113475
         305        0.16     1.56131    0.113197
         306           1     1.55948    0.112842
         307        0.16     1.55492    0.112566
         308        0.64     1.55195     0.11224
         309        0.64       1.549    0.111916
         310        0.64     1.54606    0.111593
         311           1     1.54431    0.111248
         312        0.04     1.53949    0.110996
         313        0.64     1.53661    0.110678
         314        0.04     1.53185    0.110429
         315           0     1.52698    0.110185
         316        0.04     1.52228    0.109937
         317        0.64      1.5195    0.109625
         318        0.04     1.51484    0.109379
         319        1.96     1.51624    0.109045
         320        0.64      1.5135    0.108739
         321        0.16     1.50928    0.108482
         322        0.16     1.50509    0.108226
         323        0.04     1.50056    0.107986
         324        0.36     1.49704     0.10771
         325        0.36     1.49354    0.107435
         326        0.04     1.48908    0.107198
         327           0     1.48453    0.106967
         328           1     1.48305    0.106651
         329        0.64     1.48049    0.106358
         330        0.16     1.47648    0.106111
         331        0.04     1.47215    0.105879
         332        1.96     1.47361     0.10557
         333        2.56     1.47688    0.105303
         334        0.64     1.47437    0.105018
         335           1     1.47296    0.104714
         336        0.04     1.46869    0.104489
         337        0.16     1.46481    0.104251
         338        2.56     1.46805    0.103993
         339        0.04     1.46383    0.103772
         340        0.04     1.45965    0.103551
         341           0     1.45537    0.103336
         342        1.96     1.45684    0.103044
         343        2.56     1.46006    0.102794
         344           4     1.46744     0.10276
         345        3.24     1.47258     0.10259
         346        4.84     1.48231    0.102754
         347           1     1.48092    0.102468
         348        0.04     1.47678    0.102257
         349        1.44     1.47668    0.101964
         350        1.44     1.47657    0.101673
         351        5.76     1.48877    0.102113
         352        3.24     1.49375    0.101944
         353        0.64     1.49133    0.101684
         354        0.16     1.48757    0.101466
         355           0     1.48338    0.101267
         356        3.24     1.48831    0.101102
         357        4.84      1.4977    0.101254
         358        0.36     1.49453    0.101021
         359        0.36     1.49136    0.100789
         360           0     1.48722    0.100594
         361        0.16     1.48355    0.100383
         362        0.16     1.47989    0.100172
         363        0.04     1.47592   0.0999746
         364        2.56      1.4789   0.0997443
         365        1.96     1.48022   0.0994797
         366        1.44     1.48011   0.0992079
         367        0.36     1.47706   0.0989846
         368        3.24     1.48185   0.0988314
         369           0     1.47783   0.0986452
         370        0.04     1.47395   0.0984551
         371        1.44     1.47385   0.0981897
         372        0.36     1.47086   0.0979714
         373        1.96     1.47217   0.0977175
         374        0.16     1.46866   0.0975192
         375        0.64     1.46645   0.0972842
         376        0.04     1.46266   0.0970994
         377        3.24     1.46737   0.0969562
         378        0.36     1.46444    0.096744
         379        0.36     1.46153   0.0965326
         380           0     1.45768   0.0963552
         381           4     1.46436    0.096333
         382           0     1.46052   0.0961571
         383        4.84     1.46935     0.09631
         384           1     1.46813    0.096067
         385        0.36     1.46525   0.0958606
         386        0.64     1.46311   0.0956361
         387        1.96     1.46439   0.0953976
         388        0.36     1.46155   0.0951941
         389           1     1.46036   0.0949568
         390           1     1.45918   0.0947207
         391           1     1.45801   0.0944857
         392        0.04     1.45439   0.0943139
         393        0.16     1.45109   0.0941314
         394        0.04     1.44751   0.0939606
         395        0.04     1.44395   0.0937903
         396        1.44     1.44394   0.0935534
         397           4     1.45038   0.0935391
         398        2.56     1.45317   0.0933456
         399        0.36     1.45043   0.0931518
         400        2.56      1.4532   0.0929602
         401        3.24     1.45766   0.0928351
         402        1.96     1.45891   0.0926126
         403        0.64     1.45687   0.0924051
         404        0.36     1.45416   0.0922162
         405        0.64     1.45215   0.0920105
         406        1.96      1.4534   0.0917923
         407        0.16     1.45022   0.0916218
         408        1.44      1.4502   0.0913972
         409        0.64     1.44822   0.0911952
         410        0.64     1.44624   0.0909941
         411           0     1.44273   0.0908407
         412           0     1.43922   0.0906877
         413        0.36     1.43661   0.0905058
         414        0.36     1.43401   0.0903245
         415        0.36     1.43142   0.0901439
         416        2.56     1.43413    0.089968
         417        0.16     1.43108   0.0898042
         418        5.76     1.44144   0.0901845
         419       17.64      1.4801   0.0979056
         420       17.64     1.51857    0.104961
         421       10.24     1.53929    0.106736
         422        7.84     1.55422    0.107523
         423        6.76     1.56652     0.10797
         424        6.76     1.57877    0.108408
         425           4     1.58447    0.108303
         426           1      1.5831    0.108057
         427        1.44     1.58276    0.107805
         428        1.44     1.58243    0.107553
         429        5.76     1.59217    0.107743
         430        1.44     1.59181    0.107493
         431        0.16     1.58849    0.107295
         432        0.36     1.58565    0.107084
         433        0.16     1.58236    0.106887
         434        0.36     1.57954    0.106678
         435        1.44     1.57922    0.106433
         436        5.76     1.58881     0.10662
         437        3.24     1.59259    0.106443
         438        0.64     1.59041    0.106222
         439        0.16     1.58715     0.10603
         440        0.64       1.585    0.105811
         441        2.56     1.58721    0.105594
         442           4     1.59267    0.105496
         443        2.56     1.59485    0.105281
         444        5.76     1.60423    0.105461
         445        0.36     1.60144    0.105261
         446        0.16     1.59821    0.105075
         447           0     1.59463      0.1049
         448        1.96     1.59545    0.104669
         449        0.36     1.59269    0.104472
         450        0.36     1.58996    0.104276
         451        0.64     1.58785    0.104066
         452        5.76     1.59708    0.104245
         453        1.96     1.59788    0.104017
         454        0.64     1.59577     0.10381
         455        2.56     1.59789    0.103603
         456        0.36     1.59518    0.103412
         457        1.96     1.59597    0.103188
         458        1.96     1.59677    0.102966
         459        3.24     1.60035    0.102804
         460        0.04     1.59696    0.102636
         461           0     1.59349    0.102472
         462        0.04     1.59013    0.102306
         463        1.44     1.58981    0.102085
         464           1     1.58853    0.101873
         465        2.56     1.59062    0.101675
         466           4     1.59579    0.101589
         467           9     1.61165    0.102601
         468       10.24     1.63009    0.104025
         469        3.24     1.63352     0.10386
         470        0.64      1.6314     0.10366
         471        0.64      1.6293    0.103462
         472        0.36     1.62661    0.103277
         473        3.24     1.63002    0.103115
         474        2.56     1.63198    0.102916
         475           1     1.63065    0.102708
         476        0.36     1.62798    0.102527
         477        0.16     1.62491    0.102358
         478           1      1.6236    0.102153
         479        0.04     1.62029    0.101993
         480        0.16     1.61725    0.101826
         481        0.36     1.61464    0.101648
         482        2.56      1.6166    0.101456
         483        1.96     1.61731    0.101248
         484        3.24     1.62066    0.101094
         485        0.16     1.61765    0.100931
         486        1.44     1.61728    0.100724
         487        0.16     1.61429    0.100561
         488        1.96       1.615    0.100358
         489        7.84     1.62773    0.100957
         490        4.84     1.63429    0.100963
         491        1.44     1.63389    0.100758
         492        6.76     1.64431    0.101091
         493        1.96     1.64495    0.100888
         494           1     1.64364    0.100692
         495        0.36     1.64105    0.100522
         496           1     1.63976    0.100328
         497        0.04     1.63654    0.100177
         498        0.36     1.63398    0.100009
         499        0.04     1.63078   0.0998597
         500        0.36     1.62824   0.0996923
         501        0.04     1.62507   0.0995437
         502        0.64     1.62311   0.0993648
         503           1     1.62187   0.0991749
         504           1     1.62063   0.0989858
         505        0.36     1.61814   0.0988213
         506        0.16     1.61526    0.098668
         507        0.36     1.61278   0.0985045
         508           1     1.61157   0.0983179
         509        0.16     1.60872   0.0981661
         510        1.44     1.60839   0.0979742
         511        1.44     1.60806    0.097783
         512        1.96     1.60875   0.0975945
         513        7.84      1.6209   0.0981572
         514        4.84     1.62716   0.0981658
         515        1.44      1.6268   0.0979759
         516        0.04     1.62372   0.0978343
         517           1     1.62251   0.0976525
         518        2.56     1.62432   0.0974807
         519        0.04     1.62127   0.0973407
         520        0.04     1.61823    0.097201
         521        0.36     1.61582   0.0970444
         522           0     1.61272   0.0969079
         523        0.36     1.61033   0.0967522
         524        2.56     1.61214   0.0965845
         525        0.36     1.60975     0.09643
         526        1.96     1.61042   0.0962489
         527        2.56     1.61222   0.0960832
         528        3.24      1.6153   0.0959506
         529        1.96     1.61595   0.0957715
         530        5.76     1.62377   0.0959094
         531        0.04     1.62079   0.0957752
         532        0.04     1.61782   0.0956412
         533        0.16     1.61508   0.0955009
         534        0.16     1.61236   0.0953609
         535        0.16     1.60964   0.0952213
         536           1     1.60851   0.0950504
         537        4.84     1.61453   0.0950637
         538        1.96     1.61517   0.0948892
         539        0.64     1.61336   0.0947304
         540        0.16     1.61067   0.0945932
         541           0     1.60769   0.0944652
         542        0.16     1.60502   0.0943286
         543        1.44     1.60471   0.0941554
         544        0.04     1.60184   0.0940263
         545        0.36     1.59956   0.0938813
         546        0.64      1.5978   0.0937258
         547        0.04     1.59495   0.0935978
         548           0     1.59204   0.0934722
         549           1     1.59097   0.0933082
         550        5.76     1.59855   0.0934459
         551           4      1.6029   0.0933779
         552        4.84     1.60877   0.0933927
         553        2.56     1.61049   0.0932396
         554        0.64     1.60874   0.0930878
         555        0.36     1.60649   0.0929473
         556        0.16     1.60388   0.0928165
         557        1.44     1.60359   0.0926503
         558        0.36     1.60136   0.0925111
         559        0.16     1.59878   0.0923815
         560        0.16     1.59621   0.0922523
         561        0.36     1.59401   0.0921141
         562        3.24     1.59694   0.0919968
         563        2.56     1.59865   0.0918493
         564        1.96     1.59929   0.0916887
         565        0.64     1.59759   0.0915421
         566        0.16     1.59505   0.0914156
         567        0.04     1.59231   0.0912955
         568        0.64     1.59063   0.0911502
         569        0.16     1.58812   0.0910246
         570        2.56     1.58982   0.0908809
         571           1     1.58879   0.0907276
         572        3.24     1.59168   0.0906149
         573        3.24     1.59455   0.0905024
         574        6.76     1.60355   0.0907911
         575        1.44     1.60327   0.0906336
         576        0.36     1.60111    0.090502
         577        0.16     1.59861   0.0903796
         578        1.96     1.59924   0.0902254
         579        2.56      1.6009   0.0900848
         580        0.64     1.59924   0.0899447
         581        0.36     1.59711   0.0898152
         582        0.64     1.59546   0.0896759
         583        0.16       1.593   0.0895559
         584        1.44     1.59274   0.0894029
         585           4     1.59685   0.0893447
         586        2.56      1.5985   0.0892074
         587        4.84     1.60402   0.0892262
         588           1     1.60299   0.0890803
         589        0.64     1.60136   0.0889441
