#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
           17           30    -0.845674     -0.56123    -0.415137   0.00791855
           18           30    -0.817783    -0.560349    -0.413458   0.00861399
           19           30    -0.841779    -0.527695    -0.353797    0.0130256
           20           30    -0.841779    -0.527695    -0.353797    0.0153603
           21           30    -0.836792    -0.508833    -0.299596    0.0139176
           22           30    -0.859557    -0.515189    -0.321113    0.0153128
           23           30    -0.859557    -0.515189    -0.321113    0.0129625
           24           30    -0.859557    -0.515189    -0.321113    0.0150999
           25           30    -0.880383    -0.519415    -0.303385    0.0130432
           26           30    -0.880383    -0.519415    -0.303385    0.0160405
           27           30    -0.879857    -0.536483     -0.34824   0.00998589
           28           30    -0.850781    -0.527688    -0.350015    0.0110279
           29           30    -0.824261    -0.541297    -0.384853    0.0099372
           30           30    -0.807648    -0.573564    -0.428915   0.00683824
           31           30    -0.815792    -0.591347    -0.437142   0.00652627
           32           30    -0.790138     -0.58723    -0.438505   0.00589446
           33           30    -0.808031    -0.612899    -0.455893   0.00608073
           34           30    -0.808499    -0.626022    -0.458663   0.00750596
           35           30    -0.834521    -0.604513    -0.444756   0.00609044
           36           30    -0.811972    -0.579812    -0.436666   0.00603596
           37           30    -0.818399      -0.5919    -0.437973   0.00619209
           38           30    -0.818849    -0.579135    -0.423371    0.0102523
           39           30    -0.813295    -0.558557    -0.414455   0.00882381
           40           30    -0.813295    -0.558557    -0.414455    0.0129978
           41           30     -0.83708    -0.553378    -0.409152   0.00951647
           42           30    -0.824342    -0.572025    -0.434139    0.0079171
           43           30    -0.804279    -0.564251    -0.423309   0.00739972
           44           30    -0.788268     -0.59611    -0.452215   0.00639156
           45           30    -0.788268     -0.59611    -0.452215   0.00616294
           46           30    -0.807915    -0.575618    -0.451483   0.00703486
           47           30    -0.833631    -0.570366    -0.404981   0.00728353
           48           30    -0.823915    -0.592023    -0.445306   0.00827616
           49           30     -0.83235    -0.581127    -0.433744   0.00599524
           50           30     -0.81529    -0.606715    -0.432112    0.0069348
            1           31    -0.791934    -0.598147      -0.4361   0.00622077
            2           31    -0.780156    -0.614909    -0.447676   0.00823616
            3           31    -0.787949    -0.606112    -0.442225   0.00627742
            4           31    -0.787949    -0.606112    -0.442225   0.00679628
            5           31     -0.75894    -0.613306    -0.444498   0.00722369
            6           31     -0.75894    -0.613306    -0.444498    0.0058267
            7           31    -0.788782    -0.584451    -0.441748   0.00685547
            8           31    -0.815393    -0.614581    -0.430171   0.00944629
            9           31    -0.789384    -0.643001     -0.43138    0.0107035
           10           31    -0.795981    -0.664666    -0.440697    0.0101159
           11           31    -0.800831    -0.650083    -0.426414    0.0102328
           12           31    -0.803544    -0.634876    -0.448895   0.00851869
           13           31    -0.823413    -0.610801    -0.446954   0.00572143
           14           31    -0.828353    -0.586357    -0.432667   0.00648576
           15           31    -0.844181    -0.615869    -0.447971   0.00731218
           16           31    -0.844181    -0.615869    -0.447971    0.0111652
           17           31    -0.819912    -0.587978     -0.43415    0.0076478
           18           31    -0.821306    -0.593586    -0.435883   0.00853249
           19           31    -0.818017    -0.614126    -0.438439   0.00918113
           20           31    -0.823397    -0.607421    -0.443655   0.00693802
           21           31    -0.832944    -0.627776    -0.453451    0.0131717
           22           31    -0.832944    -0.627776    -0.453451    0.0095664
           23           31     -0.80445    -0.649954    -0.435223   0.00893657
           24           31    -0.798516    -0.620205     -0.44536   0.00524716
           25           31    -0.777224    -0.642982     -0.43219     0.011259
           26           31     -0.78637    -0.668826    -0.429043   0.00965322
           27           31    -0.766026    -0.680936    -0.419806    0.0127134
           28           31    -0.766026    -0.680936    -0.419806    0.0147503
           29           31    -0.761848    -0.666135    -0.436896   0.00871803
           30           31    -0.750079    -0.645135    -0.426373   0.00919042
           31           31    -0.770606    -0.653882    -0.437167   0.00694929
           32           31    -0.770606    -0.653882    -0.437167   0.00908519
           33           31    -0.777235    -0.673873    -0.433602    0.0134802
           34           31     -0.79388    -0.651102    -0.424071    0.0122076
           35           31    -0.770203    -0.657652    -0.442415   0.00845625
           36           31    -0.748314    -0.666095    -0.437553    0.0071272
           37           31    -0.768345    -0.655642    -0.434522   0.00699374
           38           31    -0.745614    -0.651032    -0.428704   0.00787586
           39           31    -0.751297     -0.62682    -0.441199   0.00666768
           40           31    -0.751297     -0.62682    -0.441199   0.00625664
           41           31    -0.732841    -0.633174    -0.434767   0.00619628
           42           31    -0.725831    -0.630943    -0.427486    0.0066782
           43           31    -0.728246    -0.648558    -0.426826    0.0066751
           44           31    -0.749696    -0.620501    -0.428251    0.0087652
           45           31    -0.749715    -0.590483    -0.439276   0.00721499
           46           31    -0.733676    -0.571823    -0.416531   0.00810297
           47           31    -0.733676    -0.571823    -0.416531    0.0105856
           48           31    -0.750411    -0.590306    -0.425887   0.00710068
           49           31    -0.764801     -0.56903    -0.420082   0.00832757
           50           31    -0.751224    -0.539768    -0.407115    0.0120815
            1           32    -0.751224    -0.539768    -0.407115    0.0135944
            2           32    -0.757682    -0.565574    -0.428408   0.00818109
            3           32    -0.757682    -0.565574    -0.428408   0.00988594
            4           32    -0.757682    -0.565574    -0.428408   0.00700002
            5           32    -0.756375    -0.582401     -0.44276   0.00726907
            6           32    -0.740856    -0.610422    -0.424476   0.00666274
            7           32    -0.716817    -0.590959    -0.413965   0.00806403
            8           32    -0.710444    -0.592914    -0.427082   0.00844052
            9           32    -0.710444    -0.592914    -0.427082   0.00871734
           10           32    -0.728732    -0.603651    -0.426836   0.00671092
           11           32    -0.728732    -0.603651    -0.426836   0.00762382
           12           32    -0.742043    -0.593913    -0.431903   0.00693765
           13           32    -0.742043    -0.593913    -0.431903   0.00857935
           14           32    -0.742043    -0.593913    -0.431903   0.00911245
           15           32    -0.714152    -0.607843    -0.399233    0.0224009
           16           32    -0.704358    -0.616587    -0.406813   0.00740252
           17           32    -0.700806    -0.646194       -0.403   0.00661594
           18           32    -0.703619    -0.643723    -0.424139   0.00832334
           19           32    -0.733218     -0.63236    -0.420549   0.00659821
           20           32    -0.718937    -0.631752    -0.434386   0.00626726
           21           32    -0.724803    -0.607092     -0.42559   0.00674732
           22           32    -0.744772    -0.609244    -0.426422   0.00685328
           23           32    -0.717662    -0.610453    -0.418604   0.00711648
           24           32    -0.732307    -0.622865    -0.424505   0.00717061
           25           32    -0.761709    -0.616505    -0.442238   0.00516659
           26           32    -0.790071    -0.610233    -0.437034    0.0102354
           27           32    -0.786073      -0.6079    -0.447013   0.00638593
           28           32    -0.798117     -0.59021    -0.434151   0.00607782
           29           32    -0.773878    -0.578548    -0.439575   0.00712313
           30           32    -0.761467    -0.571581     -0.42106   0.00977095
           31           32    -0.745068    -0.581149    -0.435454   0.00653324
           32           32    -0.747524    -0.603417    -0.428942   0.00631134
           33           32    -0.734252     -0.60879    -0.429386   0.00664834
           34           32    -0.761272    -0.636231    -0.449202   0.00528376
           35           32    -0.760934    -0.615867    -0.433251    0.0064242
           36           32    -0.750158    -0.637697    -0.440929   0.00630789
           37           32    -0.725872    -0.631843    -0.424515   0.00647082
           38           32    -0.708073    -0.601654    -0.415104   0.00791921
           39           32    -0.721811    -0.573552    -0.411794   0.00885472
           40           32    -0.721811    -0.573552    -0.411794   0.00912284
           41           32    -0.734886    -0.551832      -0.3787   0.00969125
           42           32    -0.734886    -0.551832      -0.3787    0.0130046
           43           32    -0.714587    -0.577376    -0.429073   0.00967807
           44           32    -0.727209     -0.56339    -0.407434    0.0103673
           45           32    -0.698045    -0.545844     -0.36852    0.0104784
           46           32    -0.698045    -0.545844     -0.36852    0.0125337
           47           32     -0.69976    -0.529744    -0.331833    0.0128211
           48           32    -0.689571    -0.517489    -0.361803    0.0164856
           49           32    -0.688828    -0.529543    -0.358686    0.0148466
           50           32    -0.700301    -0.545188     -0.36955    0.0113367
            1           33    -0.730303     -0.54504    -0.365493     0.010603
            2           33     -0.72289    -0.545207     -0.37625    0.0105829
            3           33    -0.740055     -0.55936    -0.418306    0.0102164
            4           33    -0.759838    -0.561717     -0.42294    0.0104965
            5           33    -0.777832     -0.57832    -0.425491   0.00871198
            6           33    -0.771059    -0.564748    -0.426859   0.00787282
            7           33    -0.771059    -0.564748    -0.426859   0.00909869
            8           33    -0.771059    -0.564748    -0.426859    0.0103318
            9           33    -0.771059    -0.564748    -0.426859    0.0078509
           10           33    -0.765489    -0.576634    -0.425153   0.00670752
           11           33    -0.755217    -0.573422    -0.425453   0.00805118
           12           33    -0.755217    -0.573422    -0.425453    0.0083592
           13           33     -0.78332    -0.599901    -0.449005    0.0062776
           14           33     -0.78332    -0.599901    -0.449005    0.0058363
           15           33    -0.785891    -0.594909    -0.447597   0.00566279
           16           33    -0.790421    -0.624517    -0.447844   0.00647815
           17           33    -0.807455    -0.647627    -0.439792   0.00777641
           18           33    -0.826089    -0.625651    -0.446955   0.00787906
           19           33    -0.826629    -0.620058    -0.443805   0.00711639
           20           33    -0.814189    -0.617755    -0.442065   0.00738192
           21           33    -0.792939     -0.64412    -0.428103    0.0141214
           22           33    -0.777639    -0.633194    -0.449167   0.00540185
           23           33    -0.777639    -0.633194    -0.449167   0.00723615
           24           33    -0.761094    -0.624401    -0.439827   0.00562526
           25           33    -0.771804    -0.636521     -0.43737   0.00691396
           26           33    -0.768012    -0.633652    -0.448263   0.00647146
           27           33    -0.776003    -0.617403    -0.444695   0.00847468
           28           33    -0.756594    -0.603584     -0.42565   0.00813701
           29           33    -0.753634    -0.585963    -0.431744   0.00696515
           30           33    -0.739084    -0.608868    -0.425199   0.00752276
           31           33    -0.757444    -0.604746    -0.445733    0.0065968
           32           33    -0.757444    -0.604746    -0.445733    0.0113412
           33           33    -0.757444    -0.604746    -0.445733    0.0063937
           34           33    -0.750315    -0.575822    -0.421578   0.00731482
           35           33    -0.730766    -0.598823    -0.417032   0.00940478
           36           33    -0.710551    -0.613447     -0.42378   0.00682221
           37           33    -0.728081    -0.611204    -0.416295   0.00593022
           38           33     -0.71696    -0.597108    -0.417676   0.00850882
           39           33     -0.71696    -0.597108    -0.417676    0.0089646
           40           33    -0.735222    -0.622175    -0.438997   0.00600573
           41           33    -0.735222    -0.622175    -0.438997    0.0110948
           42           33    -0.719718    -0.625789    -0.425139   0.00646521
           43           33    -0.719202    -0.601446    -0.414242   0.00698384
           44           33    -0.722565    -0.622583      -0.4152    0.0115581
           45           33    -0.722107    -0.648366    -0.414722   0.00863171
           46           33    -0.736134    -0.656975    -0.406582   0.00975314
           47           33    -0.719111    -0.630811    -0.414737    0.0069783
           48           33    -0.704911    -0.604209    -0.412644   0.00765213
           49           33     -0.70891     -0.60978    -0.426088   0.00782324
           50           33    -0.728943    -0.608964    -0.422545   0.00787567
            1           34    -0.728943    -0.608964    -0.422545   0.00910031
            2           34    -0.749794    -0.633779    -0.440286   0.00582458
            3           34    -0.772801    -0.638256    -0.429585   0.00797796
            4           34    -0.743436    -0.610288    -0.423499    0.0066043
            5           34      -0.7332    -0.616577    -0.437582   0.00545915
            6           34      -0.7332    -0.616577    -0.437582   0.00708948
            7           34    -0.705787    -0.628159    -0.409279   0.00704088
            8           34    -0.702522    -0.655975    -0.408006   0.00730853
            9           34    -0.731614    -0.681717    -0.417845   0.00802983
           10           34    -0.726551    -0.678268    -0.417842   0.00919479
           11           34    -0.746321    -0.673981    -0.424255   0.00817267
           12           34    -0.769092     -0.65681    -0.444072   0.00673978
           13           34    -0.740567     -0.64842    -0.427984   0.00877905
           14           34     -0.75726    -0.672451    -0.420687    0.0131774
           15           34    -0.771749    -0.695966    -0.398875     0.019358
           16           34    -0.765994    -0.681255    -0.440402   0.00898841
           17           34    -0.765994    -0.681255    -0.440402    0.0138595
           18           34    -0.765994    -0.681255    -0.440402    0.0111644
           19           34    -0.765994    -0.681255    -0.440402    0.0207138
           20           34     -0.78416    -0.696847    -0.400503    0.0153553
           21           34    -0.767205    -0.672676      -0.4047    0.0131077
           22           34    -0.747925    -0.686874    -0.409353    0.0114156
           23           34    -0.768216    -0.670416    -0.432548    0.0126047
           24           34    -0.768998    -0.651063    -0.439701   0.00640977
           25           34    -0.764796    -0.664698    -0.431584    0.0103965
           26           34    -0.756543    -0.640441    -0.437232   0.00683072
           27           34    -0.774037    -0.613437    -0.443352    0.0068211
           28           34    -0.793472    -0.599127     -0.43567   0.00868902
           29           34     -0.77127    -0.592684    -0.435275   0.00751788
           30           34    -0.778188     -0.61742    -0.445134     0.005089
           31           34     -0.78725    -0.628968    -0.448407   0.00644417
           32           34     -0.78725    -0.628968    -0.448407    0.0151571
           33           34    -0.769108    -0.621571     -0.44655   0.00566283
           34           34    -0.786968    -0.622796     -0.45162   0.00563696
           35           34    -0.786968    -0.622796     -0.45162    0.0119126
           36           34    -0.783319    -0.603343    -0.435321   0.00882587
           37           34    -0.799067    -0.579917    -0.435189    0.0087427
           38           34    -0.790743    -0.583289     -0.43706   0.00598284
           39           34    -0.782372    -0.599711    -0.434308   0.00652298
           40           34    -0.767255     -0.62444    -0.445513   0.00613723
           41           34    -0.779949    -0.650771    -0.442381    0.0068033
           42           34    -0.797192    -0.631226    -0.440224   0.00657999
           43           34    -0.797732     -0.61505    -0.441687   0.00790787
           44           34    -0.818997    -0.591296    -0.446615   0.00575998
           45           34    -0.818997    -0.591296    -0.446615   0.00713422
           46           34    -0.818997    -0.591296    -0.446615    0.0082549
           47           34    -0.828829    -0.587826    -0.433124   0.00750668
           48           34    -0.828829    -0.587826    -0.433124   0.00881264
           49           34     -0.79984    -0.558626    -0.408814   0.00758324
           50           34    -0.797504    -0.563114     -0.42804   0.00921859
            1           35    -0.782383    -0.566994    -0.420313   0.00820408
            2           35    -0.782383    -0.566994    -0.420313   0.00803913
            3           35    -0.797341    -0.555696    -0.406122   0.00904318
            4           35    -0.778575    -0.563242    -0.425826   0.00912802
            5           35    -0.778575    -0.563242    -0.425826   0.00747526
            6           35    -0.799272    -0.547936    -0.418107     0.010545
            7           35     -0.81657    -0.526426     -0.37039    0.0132479
            8           35     -0.81657    -0.526426     -0.37039    0.0173354
            9           35     -0.81657    -0.526426     -0.37039    0.0144421
           10           35    -0.828121    -0.523327    -0.353459    0.0119581
           11           35    -0.827427    -0.522375    -0.335334    0.0119579
           12           35    -0.817235    -0.528082    -0.374495    0.0124135
           13           35    -0.815756    -0.526762    -0.397242    0.0139386
           14           35     -0.79418    -0.518453    -0.348548    0.0143883
           15           35     -0.79418    -0.518453    -0.348548    0.0124421
           16           35     -0.79418    -0.518453    -0.348548     0.015867
           17           35    -0.789851    -0.520289    -0.344082    0.0155185
           18           35    -0.800496    -0.525734    -0.363366    0.0122181
           19           35    -0.800496    -0.525734    -0.363366    0.0124959
           20           35    -0.813185    -0.530964     -0.36278    0.0114283
           21           35    -0.805027    -0.555708    -0.405037    0.0121833
           22           35    -0.788604    -0.528209    -0.349247    0.0113172
           23           35    -0.800098    -0.538129    -0.379216    0.0174766
           24           35    -0.776397    -0.530637    -0.366968    0.0117821
           25           35    -0.769779    -0.520625    -0.393891    0.0143266
           26           35    -0.769779    -0.520625    -0.393891    0.0127013
           27           35    -0.769779    -0.520625    -0.393891    0.0146229
           28           35    -0.742775    -0.515988    -0.351662    0.0144869
           29           35    -0.742775    -0.515988    -0.351662    0.0158194
           30           35    -0.763319    -0.541684    -0.398894    0.0112631
           31           35    -0.763319    -0.541684    -0.398894    0.0118081
           32           35    -0.763319    -0.541684    -0.398894    0.0112038
           33           35    -0.768017     -0.56074    -0.424584   0.00900749
           34           35    -0.771721    -0.565016    -0.416239   0.00868024
           35           35    -0.790592    -0.555659    -0.418586   0.00913115
           36           35    -0.769849    -0.579571    -0.440178    0.0084373
           37           35    -0.769849    -0.579571    -0.440178   0.00893108
           38           35    -0.791748    -0.577213     -0.44054   0.00735546
           39           35    -0.784705    -0.573263    -0.425803   0.00720032
           40           35    -0.812277    -0.576021    -0.438729   0.00647271
           41           35    -0.831727    -0.591984    -0.442262   0.00679085
           42           35    -0.831727    -0.591984    -0.442262   0.00681755
           43           35    -0.844794    -0.603765    -0.440862   0.00697152
           44           35    -0.839286    -0.582775    -0.434353   0.00640701
           45           35    -0.818286    -0.561465    -0.411899    0.0078424
           46           35    -0.814552     -0.57701    -0.423047   0.00700815
           47           35    -0.787906    -0.579001    -0.436655    0.0069377
           48           35    -0.787906    -0.579001    -0.436655   0.00713531
           49           35    -0.781975      -0.6001    -0.443869   0.00669845
           50           35    -0.805848    -0.578336    -0.434351   0.00733612
            1           36    -0.794044    -0.604694    -0.446779   0.00517763
            2           36    -0.781325    -0.615142    -0.451762   0.00462848
            3           36    -0.781325    -0.615142    -0.451762    0.0114334
            4           36    -0.792421    -0.619382    -0.442446   0.00747372
            5           36    -0.774656    -0.644678    -0.445611   0.00533009
            6           36    -0.777371    -0.667033    -0.437634   0.00998962
            7           36    -0.792478    -0.639988    -0.430242   0.00845796
            8           36    -0.807362    -0.641033    -0.431496   0.00952112
            9           36    -0.830567    -0.656861    -0.427524    0.0138989
           10           36    -0.831059    -0.681679    -0.423411    0.0156003
           11           36    -0.810862    -0.707971    -0.409929    0.0159754
           12           36    -0.803157    -0.712912    -0.396255     0.016662
           13           36    -0.803157    -0.712912    -0.396255    0.0235106
           14           36     -0.79536    -0.698385    -0.401813    0.0152224
           15           36    -0.803136    -0.676843    -0.432081    0.0125393
           16           36    -0.789694      -0.6895    -0.412947    0.0137259
           17           36    -0.789694      -0.6895    -0.412947    0.0388822
           18           36    -0.808351    -0.676396    -0.410787    0.0173005
           19           36    -0.786057    -0.653186    -0.420875    0.0118117
           20           36     -0.78425    -0.627892    -0.444294   0.00628371
           21           36     -0.75738     -0.60722    -0.429834   0.00806006
           22           36    -0.752216    -0.614045    -0.434097   0.00907907
           23           36    -0.767305    -0.609767    -0.439417   0.00503025
           24           36    -0.767072    -0.617596    -0.440025   0.00633161
           25           36    -0.767072    -0.617596    -0.440025   0.00878931
           26           36     -0.76901    -0.618214     -0.43581   0.00688623
           27           36    -0.748474     -0.64319    -0.435204   0.00572195
           28           36    -0.742904    -0.651202     -0.41763   0.00893758
           29           36    -0.724794    -0.651024    -0.426313   0.00703531
           30           36    -0.697159    -0.672112     -0.38651    0.0130488
           31           36    -0.682926    -0.682725    -0.348468     0.028569
           32           36    -0.703984    -0.678608    -0.400137    0.0116901
           33           36    -0.703023    -0.689312    -0.392955    0.0158163
           34           36    -0.703023    -0.689312    -0.392955    0.0541767
           35           36    -0.696475    -0.664743    -0.396777   0.00881534
           36           36    -0.689089    -0.676978    -0.389915    0.0101469
           37           36    -0.713874    -0.652284    -0.428198   0.00713644
           38           36    -0.713874    -0.652284    -0.428198   0.00881389
           39           36    -0.726612    -0.658867    -0.407755   0.00827917
           40           36    -0.726171    -0.679177    -0.417332   0.00839082
           41           36    -0.744283    -0.690135    -0.420171    0.0105471
           42           36    -0.750732    -0.668546    -0.421711   0.00892683
           43           36    -0.751672    -0.682008    -0.415868    0.0081925
           44           36    -0.738988     -0.66282    -0.413463   0.00938308
           45           36    -0.741179    -0.653661    -0.432412   0.00807982
           46           36    -0.735853    -0.645264    -0.429436   0.00644393
           47           36     -0.75852    -0.661435    -0.424907   0.00763871
           48           36    -0.740983      -0.6395    -0.434404    0.0064518
           49           36    -0.755446    -0.629923    -0.438441   0.00502173
           50           36    -0.743546    -0.640894    -0.435335   0.00626871
            1           37    -0.732292    -0.642023    -0.441742   0.00589826
            2           37    -0.753921    -0.664487    -0.437813   0.00701834
            3           37    -0.749476    -0.681215    -0.429223    0.0125636
            4           37    -0.748815    -0.683876    -0.421025   0.00984115
            5           37    -0.748815    -0.683876    -0.421025    0.0223767
            6           37    -0.740528      -0.6733    -0.438107   0.00678953
            7           37    -0.758547    -0.649233    -0.435758   0.00715033
            8           37    -0.753017    -0.669272    -0.416995   0.00983869
            9           37    -0.766262     -0.68195    -0.421704    0.0109709
           10           37    -0.766262     -0.68195    -0.421704    0.0191418
           11           37    -0.766262     -0.68195    -0.421704    0.0215554
           12           37    -0.780202    -0.705626    -0.393698    0.0148234
           13           37     -0.76763    -0.696874    -0.410259    0.0137474
           14           37    -0.756202    -0.676677     -0.41022    0.0156185
           15           37     -0.73408    -0.683371    -0.415237   0.00855868
           16           37    -0.740991    -0.702047    -0.406714    0.0114633
           17           37    -0.740991    -0.702047    -0.406714    0.0136303
           18           37    -0.756388    -0.724723    -0.379785    0.0242558
           19           37    -0.773749    -0.698872    -0.359421    0.0308592
           20           37    -0.796006    -0.692229    -0.419871    0.0174838
           21           37    -0.793173    -0.680991     -0.43978    0.0098516
           22           37    -0.793173    -0.680991     -0.43978    0.0210219
           23           37    -0.769456    -0.661026    -0.446676   0.00801182
           24           37    -0.786953    -0.642568    -0.444094   0.00744348
           25           37    -0.775478    -0.628015    -0.443003   0.00863666
           26           37     -0.76647    -0.615653    -0.432932   0.00644444
           27           37    -0.747477    -0.612073     -0.43647    0.0105275
           28           37    -0.765684    -0.622971    -0.444809   0.00637501
           29           37    -0.765684    -0.622971    -0.444809    0.0115645
           30           37    -0.788028    -0.626436    -0.450091   0.00502546
           31           37    -0.769694    -0.623753    -0.443807   0.00981521
           32           37    -0.790247    -0.630391    -0.444839   0.00619025
           33           37    -0.775511    -0.622982    -0.439966   0.00539783
           34           37    -0.786222    -0.637641    -0.436423    0.0107117
           35           37     -0.78957    -0.657179     -0.42886    0.0082395
           36           37     -0.78957    -0.657179     -0.42886    0.0118625
           37           37    -0.764259    -0.632046    -0.441066   0.00854045
           38           37    -0.777433    -0.611267    -0.426937   0.00680147
           39           37    -0.754286    -0.622636    -0.429949    0.0061447
           40           37    -0.732946    -0.644336    -0.427916   0.00666063
           41           37    -0.710007    -0.634468    -0.407892   0.00682495
           42           37    -0.735393    -0.619064    -0.429958   0.00608146
           43           37    -0.735393    -0.619064    -0.429958   0.00690176
           44           37     -0.75676    -0.641257    -0.429613    0.0104494
           45           37    -0.767307    -0.637993    -0.428328   0.00927538
           46           37    -0.745745    -0.663841    -0.440094    0.0068311
           47           37    -0.729218    -0.659417    -0.409941   0.00984318
           48           37    -0.724234    -0.636232    -0.434354   0.00606978
           49           37    -0.744767    -0.639836    -0.424988    0.0118395
           50           37    -0.732051    -0.655888    -0.422171   0.00613002
            1           38    -0.724126    -0.651459    -0.431323   0.00635005
            2           38    -0.724126    -0.651459    -0.431323   0.00903203
            3           38    -0.733593    -0.630114    -0.426534   0.00631355
            4           38    -0.733593    -0.630114    -0.426534   0.00736987
            5           38    -0.753116    -0.628237    -0.419361    0.0129252
            6           38    -0.744188    -0.654094    -0.436122    0.0096264
            7           38    -0.744188    -0.654094    -0.436122    0.0102525
            8           38    -0.744188    -0.654094    -0.436122   0.00838128
            9           38    -0.744188    -0.654094    -0.436122    0.0120771
           10           38    -0.744188    -0.654094    -0.436122    0.0137578
           11           38    -0.747585    -0.647011    -0.435233   0.00588222
           12           38    -0.761839    -0.625612     -0.43992   0.00688634
           13           38    -0.775072    -0.626301    -0.439612   0.00658255
           14           38    -0.791795    -0.642481     -0.42894    0.0157786
           15           38    -0.781353    -0.640797    -0.444018   0.00924832
           16           38    -0.765034    -0.662749    -0.439783   0.00541869
           17           38    -0.765034    -0.662749    -0.439783    0.0162698
           18           38    -0.765737    -0.644686    -0.439051    0.0101606
           19           38    -0.777195    -0.621017    -0.447533   0.00672285
           20           38     -0.76294    -0.604998    -0.441699   0.00562162
           21           38    -0.757252    -0.593292    -0.432166   0.00706611
           22           38    -0.766542    -0.592533    -0.432239   0.00628206
           23           38    -0.779823     -0.58287    -0.437727   0.00659654
           24           38    -0.787989      -0.5608    -0.414894   0.00780396
           25           38    -0.806523    -0.543891    -0.408839   0.00941872
           26           38    -0.799812    -0.563804      -0.4289   0.00910131
           27           38      -0.7759    -0.547863    -0.408202    0.0107242
           28           38      -0.7759    -0.547863    -0.408202     0.011356
           29           38    -0.800968    -0.566078    -0.410299   0.00847889
           30           38     -0.82345    -0.587821    -0.434138   0.00678437
           31           38    -0.814463    -0.610676    -0.432745   0.00868252
           32           38    -0.837389    -0.596492    -0.436343   0.00778075
           33           38     -0.84874    -0.591755    -0.432069   0.00661616
           34           38    -0.867723    -0.596686    -0.430541   0.00723972
           35           38    -0.852314    -0.590689    -0.426289   0.00668378
           36           38    -0.838178    -0.590111    -0.435599   0.00920564
           37           38    -0.859135    -0.594443    -0.422236   0.00825215
           38           38    -0.868921    -0.610041    -0.420034     0.010292
           39           38    -0.854681    -0.592776    -0.419616   0.00839875
           40           38     -0.85277    -0.592161    -0.428524   0.00813051
           41           38    -0.873987    -0.595017    -0.418286   0.00760371
           42           38    -0.891882    -0.609675    -0.410587    0.0114406
           43           38    -0.905719    -0.633433    -0.403482    0.0134013
           44           38    -0.907225    -0.615321    -0.395067     0.014681
           45           38    -0.926202     -0.59788    -0.381283    0.0100227
           46           38    -0.926202     -0.59788    -0.381283     0.018535
           47           38    -0.926202     -0.59788    -0.381283    0.0126617
           48           38    -0.926202     -0.59788    -0.381283    0.0165602
           49           38    -0.912329    -0.606818    -0.407591    0.0120131
           50           38    -0.891651    -0.612535    -0.415082    0.0096833
            1           39    -0.878949    -0.618655     -0.42044    0.0107253
            2           39     -0.86923    -0.614284    -0.395345    0.0162299
            3           39     -0.85006    -0.593425    -0.426539    0.0068822
            4           39     -0.85006    -0.593425    -0.426539    0.0108904
            5           39     -0.85006    -0.593425    -0.426539   0.00810095
            6           39    -0.830326    -0.600832    -0.446992   0.00616752
            7           39    -0.817146     -0.60404    -0.455059   0.00604817
            8           39    -0.840839    -0.614481    -0.454455   0.00892547
            9           39    -0.840839    -0.614481    -0.454455    0.0058656
           10           39    -0.840839    -0.614481    -0.454455    0.0134148
           11           39    -0.840839    -0.614481    -0.454455   0.00839227
           12           39    -0.857405    -0.630872    -0.442998   0.00761154
           13           39     -0.84706    -0.626892    -0.406386    0.0182362
           14           39    -0.824574    -0.639364    -0.430108    0.0117167
           15           39    -0.844622    -0.626567    -0.444184   0.00993264
           16           39     -0.83193    -0.609413     -0.43438    0.0107811
           17           39    -0.823942    -0.610584     -0.43476   0.00695834
           18           39     -0.83024    -0.606562    -0.433861   0.00830768
           19           39    -0.829645    -0.624187    -0.441467   0.00738201
           20           39    -0.853913    -0.618891    -0.419278     0.014626
           21           39    -0.852085    -0.599059    -0.436785   0.00848953
           22           39    -0.852085    -0.599059    -0.436785   0.00876438
           23           39    -0.851396     -0.58526    -0.425668   0.00726327
           24           39    -0.848178    -0.588117    -0.438106   0.00718874
           25           39    -0.840234    -0.600658    -0.430998   0.00640766
           26           39    -0.838292    -0.610632     -0.43299   0.00768945
           27           39    -0.842406    -0.591662    -0.434731    0.0089297
           28           39    -0.829879    -0.596778     -0.44116   0.00624163
           29           39    -0.825742    -0.619218    -0.439889   0.00668226
           30           39    -0.815485    -0.636876    -0.450008    0.0118388
           31           39    -0.810935    -0.628135    -0.447919   0.00770199
           32           39    -0.810935    -0.628135    -0.447919    0.0143929
           33           39    -0.810935    -0.628135    -0.447919   0.00609882
           34           39    -0.827762    -0.639472    -0.440355    0.0113547
           35           39    -0.827762    -0.639472    -0.440355    0.0118304
           36           39    -0.814775    -0.624932    -0.442533   0.00743884
           37           39    -0.814775    -0.624932    -0.442533    0.0138663
           38           39      -0.8354    -0.614164      -0.4379   0.00668605
           39           39    -0.829433    -0.613394    -0.431622    0.0113743
           40           39    -0.848185     -0.63425     -0.42674    0.0138696
           41           39    -0.848185     -0.63425     -0.42674      0.01408
           42           39    -0.867591    -0.632326    -0.426077   0.00991114
           43           39    -0.850242    -0.622094    -0.428495    0.0128355
           44           39    -0.837838    -0.604408    -0.444486    0.0065934
           45           39    -0.832197    -0.616376    -0.429464    0.0081264
           46           39    -0.837431    -0.600101    -0.437335   0.00792142
           47           39    -0.812035     -0.57899    -0.433146    0.0072625
