#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
           13            3     0.127956      -1.2782   0.00743695    0.0645673
           14            3     0.127956      -1.2782   0.00743695     0.238553
           15            3     0.287169     -1.11242    -0.197617    0.0361783
           16            3   -0.0436831    -0.994596    -0.243728    0.0197841
           17            3    -0.130487    -0.980171     -0.25769    0.0223107
           18            3    -0.237996    -0.837187    -0.208761    0.0201234
           19            3    -0.549998    -0.706426    -0.280557    0.0120699
           20            3    -0.726122    -0.819621    -0.322451    0.0220005
           21            3    -0.819733    -0.758568    -0.371093    0.0180894
           22            3    -0.819733    -0.758568    -0.371093     0.161677
           23            3    -0.562133    -0.872425    -0.271109    0.0285062
           24            3    -0.562133    -0.872425    -0.271109    0.0202927
           25            3    -0.562133    -0.872425    -0.271109     0.172784
           26            3    -0.562133    -0.872425    -0.271109     0.016729
           27            3    -0.664439     -1.17069      0.19583    0.0911838
           28            3    -0.664439     -1.17069      0.19583     0.634192
           29            3    -0.332152     -1.04754    -0.249344    0.0345942
           30            3    -0.624401    -0.782307    -0.347282    0.0125113
           31            3    -0.739389     -0.61565     -0.43931   0.00614889
           32            3     -0.54592    -0.854925    -0.308225    0.0135647
           33            3    -0.537898    -0.654499     -0.24171    0.0127877
           34            3    -0.635295    -0.920284    -0.192334    0.0325463
           35            3      -0.3816    -0.759218    -0.192607    0.0153969
           36            3     -0.19021    -0.689031    0.0163488    0.0209753
           37            3     -0.19021    -0.689031    0.0163488    0.0303494
           38            3    -0.433654    -0.664018    -0.154177     0.015139
           39            3    -0.656398    -0.903315    -0.222511    0.0391468
           40            3    -0.583215    -0.755297    -0.287857     0.013573
           41            3    -0.594181    -0.791151    -0.344393    0.0120058
           42            3    -0.594181    -0.791151    -0.344393     0.018181
           43            3     -0.92312    -0.593185    -0.390626   0.00961972
           44            3     -0.92312    -0.593185    -0.390626    0.0325098
           45            3     -0.69378    -0.633583    -0.409554   0.00775933
           46            3    -0.686259    -0.787549    -0.301866    0.0385064
           47            3    -0.910668    -0.728372    -0.311882    0.0321866
           48            3    -0.910668    -0.728372    -0.311882     0.117102
           49            3     -0.92237    -0.533414    -0.293386    0.0105397
           50            3     -0.92237    -0.533414    -0.293386     0.130399
            1            4     -0.92237    -0.533414    -0.293386    0.0588465
            2            4    -0.833038    -0.454841    -0.101027    0.0256213
            3            4    -0.833038    -0.454841    -0.101027    0.0400034
            4            4    -0.833038    -0.454841    -0.101027    0.0612798
            5            4    -0.867764    -0.531481    -0.349616    0.0112252
            6            4    -0.748058    -0.602087    -0.443298   0.00572089
            7            4    -0.638438    -0.603424    -0.357618    0.0098578
            8            4    -0.638438    -0.603424    -0.357618    0.0140714
            9            4    -0.638438    -0.603424    -0.357618    0.0317844
           10            4    -0.684637    -0.585983    -0.387211    0.0086724
           11            4    -0.739036    -0.833678     -0.28379    0.0375794
           12            4    -0.760605    -0.638948    -0.440381   0.00930743
           13            4    -0.963325    -0.875808      0.21484    0.0861474
           14            4     -1.03613    -0.770451   -0.0145302    0.0484803
           15            4     -1.03613    -0.770451   -0.0145302      0.07679
           16            4     -1.03613    -0.770451   -0.0145302     0.106043
           17            4     -1.03613    -0.770451   -0.0145302     0.081633
           18            4    -0.894757    -0.687298     -0.32618    0.0300364
           19            4    -0.915454    -0.674594    -0.355382     0.022831
           20            4    -0.915454    -0.674594    -0.355382    0.0207991
           21            4    -0.915454    -0.674594    -0.355382    0.0309394
           22            4    -0.915454    -0.674594    -0.355382    0.0479269
           23            4    -0.818641    -0.651777    -0.454492   0.00706699
           24            4    -0.666057    -0.819109    -0.297285    0.0244972
           25            4    -0.705052    -0.853663    -0.253267    0.0420143
           26            4    -0.514093    -0.628431    -0.221747    0.0148493
           27            4    -0.526528    -0.435233   -0.0484209    0.0249518
           28            4    -0.526528    -0.435233   -0.0484209    0.0991035
           29            4    -0.526528    -0.435233   -0.0484209     0.149422
           30            4    -0.526528    -0.435233   -0.0484209    0.0760359
           31            4    -0.526528    -0.435233   -0.0484209     0.199047
           32            4    -0.706475     -0.44288   -0.0256394    0.0231366
           33            4    -0.715042    -0.455207    -0.125009     0.026231
           34            4    -0.681224    -0.436521   -0.0474555    0.0273143
           35            4    -0.681224    -0.436521   -0.0474555    0.0844929
           36            4    -0.681224    -0.436521   -0.0474555    0.0256471
           37            4    -0.681224    -0.436521   -0.0474555    0.0489282
           38            4    -0.681224    -0.436521   -0.0474555    0.0827495
           39            4    -0.661791    -0.616463    -0.377103   0.00835554
           40            4    -0.661791    -0.616463    -0.377103    0.0281243
           41            4    -0.430869    -0.823393     -0.26173     0.015654
           42            4    -0.416589     -1.01741    -0.274887    0.0284611
           43            4    -0.328086    -0.942818    -0.300411    0.0155754
           44            4    -0.457299     -1.01827    -0.188452    0.0407467
           45            4    -0.349792    -0.957171     -0.27829    0.0205751
