#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         169    0.773587    0.754863   0.0235706
         170     0.77628    0.754989   0.0234322
         171    0.778862    0.755129   0.0232956
         172    0.781323    0.755281   0.0231607
         173    0.783662    0.755445   0.0230274
         174    0.785872     0.75562   0.0228957
         175     0.78795    0.755805   0.0227656
         176    0.789893    0.755999   0.0226371
         177      0.7917      0.7562   0.0225101
         178    0.793367    0.756409   0.0223846
         179    0.794891    0.756624   0.0222606
         180     0.79627    0.756844    0.022138
         181    0.797505    0.757069   0.0220168
         182    0.798596    0.757297   0.0218971
         183    0.799543    0.757528   0.0217786
         184    0.800346    0.757761   0.0216615
         185    0.801006    0.757994   0.0215457
         186    0.801526    0.758228   0.0214311
         187    0.801909    0.758462   0.0213178
         188    0.802157    0.758694   0.0212056
         189    0.802273    0.758925   0.0210947
         190    0.802262    0.759153   0.0209849
         191    0.802127    0.759378   0.0208762
         192    0.801868    0.759599   0.0207687
         193     0.80149    0.759817   0.0206622
         194    0.800998    0.760029   0.0205568
         195    0.800393    0.760236   0.0204524
         196    0.799677    0.760437   0.0203491
         197    0.798852    0.760632   0.0202467
         198    0.797923     0.76082   0.0201453
         199    0.796893    0.761002   0.0200449
         200    0.795765    0.761175   0.0199454
         201    0.794544    0.761341   0.0198469
         202    0.793232    0.761499   0.0197493
         203    0.791832    0.761649   0.0196525
         204    0.790344    0.761789   0.0195567
         205    0.788772    0.761921   0.0194618
         206    0.787119    0.762043   0.0193677
         207    0.785393    0.762156   0.0192744
         208    0.783595    0.762259    0.019182
         209    0.781727    0.762352   0.0190905
         210    0.779791    0.762435   0.0189998
         211    0.777789    0.762508   0.0189099
         212    0.775723    0.762571   0.0188208
         213    0.773594    0.762622   0.0187325
         214    0.771407    0.762663    0.018645
         215    0.769165    0.762694   0.0185583
         216    0.766876    0.762713   0.0184724
         217    0.764542    0.762721   0.0183872
         218    0.762167    0.762719   0.0183029
         219    0.759757    0.762705   0.0182193
         220    0.757314    0.762681   0.0181365
         221    0.754845    0.762645   0.0180545
         222    0.752356    0.762599   0.0179732
         223    0.749852    0.762542   0.0178927
         224    0.747339    0.762474    0.017813
         225    0.744825    0.762396    0.017734
         226    0.742317    0.762307   0.0176557
         227    0.739822    0.762208   0.0175782
         228    0.737348    0.762099   0.0175015
         229    0.734901     0.76198   0.0174255
         230    0.732491    0.761852   0.0173502
         231    0.730125    0.761714   0.0172756
         232    0.727808    0.761568   0.0172018
         233    0.725548    0.761414   0.0171286
         234    0.723353    0.761251   0.0170562
         235    0.721231    0.761081   0.0169845
         236    0.719192    0.760903   0.0169134
         237    0.717241    0.760719   0.0168431
         238    0.715382    0.760528   0.0167734
         239    0.713622    0.760332   0.0167043
         240    0.711968    0.760131    0.016636
         241    0.710426    0.759924   0.0165682
         242    0.709002    0.759714   0.0165011
         243      0.7077      0.7595   0.0164346
         244    0.706521    0.759283   0.0163686
         245    0.705471    0.759063   0.0163033
         246    0.704553    0.758842   0.0162385
         247    0.703771    0.758619   0.0161743
         248    0.703126    0.758395   0.0161106
         249    0.702621    0.758171   0.0160475
         250    0.702259    0.757947   0.0159849
         251    0.702044    0.757724   0.0159227
         252    0.701974    0.757503   0.0158611
         253    0.702049    0.757284   0.0157999
         254    0.702273    0.757067   0.0157392
         255    0.702647    0.756854   0.0156789
         256    0.703174    0.756644   0.0156191
         257    0.703854    0.756439   0.0155596
         258    0.704691    0.756238   0.0155006
         259    0.705682    0.756043    0.015442
         260    0.706829    0.755854   0.0153838
         261    0.708126    0.755671   0.0153259
         262    0.709572    0.755495   0.0152684
         263    0.711163    0.755326   0.0152113
         264    0.712898    0.755166   0.0151545
         265    0.714774    0.755013   0.0150981
         266    0.716783     0.75487   0.0150421
         267    0.718922    0.754735   0.0149863
         268    0.721185     0.75461   0.0149309
         269    0.723565    0.754494   0.0148759
         270    0.726051    0.754389   0.0148211
         271    0.728632    0.754294   0.0147668
         272    0.731295    0.754209   0.0147127
         273    0.734031    0.754136    0.014659
         274    0.736829    0.754072   0.0146056
         275    0.739675     0.75402   0.0145526
         276    0.742553    0.753978   0.0144999
         277    0.745449    0.753948   0.0144476
         278    0.748347    0.753928   0.0143957
         279    0.751235    0.753918   0.0143441
         280    0.754098    0.753919   0.0142929
         281    0.756924    0.753929    0.014242
         282    0.759697     0.75395   0.0141915
         283    0.762405     0.75398   0.0141414
         284    0.765036    0.754018   0.0140917
         285     0.76758    0.754066   0.0140423
         286     0.77003    0.754122   0.0139933
         287    0.772375    0.754185   0.0139447
         288    0.774607    0.754256   0.0138964
         289    0.776723    0.754334   0.0138486
         290    0.778717    0.754418   0.0138011
         291    0.780589    0.754508   0.0137539
         292    0.782335    0.754603   0.0137072
         293    0.783958    0.754704   0.0136608
         294    0.785459    0.754808   0.0136147
         295    0.786841    0.754917    0.013569
         296    0.788105    0.755029   0.0135236
         297    0.789258    0.755144   0.0134786
         298    0.790306    0.755262   0.0134338
         299    0.791257    0.755383   0.0133895
         300    0.792118    0.755505   0.0133454
         301    0.792898    0.755629   0.0133016
         302    0.793606    0.755755   0.0132582
         303     0.79425    0.755882    0.013215
         304    0.794839     0.75601   0.0131722
         305    0.795382    0.756139   0.0131296
         306    0.795887    0.756269   0.0130874
         307    0.796363      0.7564   0.0130454
         308    0.796818    0.756531   0.0130037
         309    0.797259    0.756663   0.0129623
         310    0.797695    0.756795   0.0129211
         311    0.798133    0.756928   0.0128803
         312     0.79858    0.757062   0.0128397
         313    0.799043    0.757196   0.0127994
         314    0.799526    0.757331   0.0127593
         315    0.800036    0.757466   0.0127195
         316    0.800579    0.757603     0.01268
         317    0.801159     0.75774   0.0126407
         318    0.801782    0.757878   0.0126017
         319    0.802448    0.758018    0.012563
         320    0.803161    0.758159   0.0125246
         321    0.803924    0.758302   0.0124863
         322    0.804738    0.758446   0.0124484
         323    0.805604    0.758592   0.0124107
         324    0.806524     0.75874   0.0123733
         325    0.807497     0.75889   0.0123361
         326     0.80852    0.759042   0.0122992
         327    0.809593    0.759197   0.0122626
         328    0.810716    0.759354   0.0122262
         329    0.811881    0.759514   0.0121901
         330    0.813086    0.759676   0.0121542
         331    0.814325    0.759841   0.0121186
         332    0.815594    0.760009   0.0120833
         333    0.816883     0.76018   0.0120482
         334    0.818184    0.760353   0.0120134
         335    0.819491     0.76053   0.0119788
         336    0.820797    0.760709   0.0119445
         337    0.822093    0.760891   0.0119105
         338     0.82337    0.761076   0.0118767
         339    0.824618    0.761264   0.0118431
         340    0.825828    0.761454   0.0118098
         341    0.826994    0.761646   0.0117767
         342    0.828104     0.76184   0.0117439
         343    0.829148    0.762036   0.0117113
         344    0.830121    0.762234   0.0116789
         345    0.831017    0.762434   0.0116468
         346    0.831828    0.762634   0.0116148
         347    0.832546    0.762836   0.0115831
         348    0.833167    0.763038   0.0115516
         349    0.833685     0.76324   0.0115203
         350    0.834097    0.763443   0.0114891
         351    0.834401    0.763645   0.0114582
         352     0.83459    0.763846   0.0114274
         353    0.834663    0.764047   0.0113968
         354    0.834619    0.764246   0.0113663
         355    0.834457    0.764444    0.011336
         356    0.834177     0.76464   0.0113059
         357    0.833778    0.764834   0.0112759
         358    0.833263    0.765025    0.011246
         359    0.832634    0.765213   0.0112163
         360    0.831893    0.765398   0.0111866
         361    0.831043     0.76558   0.0111571
         362    0.830085    0.765758   0.0111277
         363    0.829024    0.765933   0.0110984
         364    0.827865    0.766103   0.0110692
         365    0.826611    0.766269   0.0110402
         366    0.825265     0.76643   0.0110112
         367    0.823832    0.766586   0.0109823
         368    0.822319    0.766738   0.0109535
         369    0.820729    0.766884   0.0109248
         370    0.819066    0.767025   0.0108962
         371    0.817339    0.767161   0.0108676
         372    0.815554    0.767291   0.0108392
         373    0.813717    0.767415   0.0108108
         374    0.811834    0.767534   0.0107826
         375    0.809912    0.767647   0.0107544
         376     0.80796    0.767754   0.0107264
         377    0.805991    0.767856   0.0106984
         378    0.804014    0.767951   0.0106705
         379    0.802035    0.768041   0.0106427
         380    0.800066    0.768125   0.0106151
         381    0.798118    0.768204   0.0105875
         382    0.796202    0.768277     0.01056
         383    0.794325    0.768345   0.0105327
         384    0.792496    0.768408   0.0105054
         385    0.790729    0.768466   0.0104783
         386    0.789032     0.76852   0.0104513
         387    0.787414    0.768568   0.0104244
         388    0.785884    0.768613   0.0103976
         389    0.784453    0.768654    0.010371
         390    0.783128    0.768691   0.0103445
         391    0.781913    0.768725   0.0103181
         392    0.780812    0.768756   0.0102918
         393    0.779832    0.768784   0.0102656
         394    0.778979     0.76881   0.0102396
         395    0.778253    0.768833   0.0102137
         396    0.777656    0.768856    0.010188
         397    0.777184    0.768877   0.0101623
         398    0.776833    0.768897   0.0101368
         399    0.776602    0.768916   0.0101114
         400    0.776487    0.768935   0.0100862
         401    0.776483    0.768954    0.010061
         402    0.776584    0.768973    0.010036
         403    0.776786    0.768992   0.0100111
         404    0.777082    0.769012  0.00998636
         405    0.777466    0.769033  0.00996173
         406    0.777929    0.769055  0.00993722
         407    0.778467    0.769078  0.00991283
         408    0.779072    0.769103  0.00988856
         409    0.779738    0.769129  0.00986442
         410    0.780461    0.769156   0.0098404
         411    0.781237    0.769186   0.0098165
         412    0.782059    0.769217  0.00979272
         413    0.782924     0.76925  0.00976907
         414    0.783827    0.769285  0.00974553
         415    0.784766    0.769323  0.00972212
         416    0.785736    0.769362  0.00969883
         417    0.786733    0.769404  0.00967566
         418    0.787753    0.769448  0.00965261
         419    0.788793    0.769494  0.00962969
         420    0.789847    0.769542  0.00960688
         421    0.790911    0.769593   0.0095842
         422    0.791983    0.769646  0.00956163
         423    0.793055    0.769701  0.00953919
         424    0.794123    0.769759  0.00951686
         425    0.795181    0.769819  0.00949466
         426    0.796224    0.769881  0.00947257
         427    0.797247    0.769945  0.00945061
         428    0.798246    0.770011  0.00942876
         429    0.799212    0.770079  0.00940702
         430    0.800136    0.770149  0.00938541
         431     0.80101    0.770221   0.0093639
         432    0.801825    0.770294  0.00934251
         433    0.802574    0.770368  0.00932123
         434     0.80325    0.770444  0.00930006
         435    0.803844    0.770521    0.009279
         436    0.804347    0.770598  0.00925804
         437    0.804751    0.770677  0.00923719
         438    0.805047    0.770755  0.00921643
         439     0.80523    0.770834  0.00919577
         440    0.805293    0.770912  0.00917521
         441    0.805226     0.77099  0.00915473
         442    0.805024    0.771067  0.00913434
         443    0.804681    0.771143  0.00911404
         444    0.804193    0.771217  0.00909382
         445    0.803557     0.77129  0.00907367
         446    0.802777     0.77136   0.0090536
         447     0.80185    0.771428   0.0090336
         448    0.800775    0.771494  0.00901368
         449    0.799556    0.771556  0.00899382
         450    0.798194    0.771616  0.00897403
         451    0.796698    0.771671   0.0089543
         452    0.795073    0.771723  0.00893464
         453    0.793328    0.771771  0.00891504
         454    0.791475    0.771814  0.00889551
         455    0.789523    0.771853  0.00887605
         456    0.787488    0.771887  0.00885665
         457    0.785387    0.771917  0.00883732
         458    0.783232    0.771942  0.00881806
         459    0.781039    0.771961  0.00879887
         460    0.778828    0.771976  0.00877975
         461    0.776616    0.771986  0.00876071
         462    0.774421    0.771992  0.00874175
         463    0.772262    0.771992  0.00872287
         464    0.770159    0.771988  0.00870407
         465    0.768131     0.77198  0.00868536
         466    0.766194    0.771968  0.00866673
         467    0.764365    0.771951  0.00864819
         468    0.762659    0.771931  0.00862973
         469    0.761092    0.771908  0.00861136
         470     0.75968    0.771882  0.00859308
         471    0.758433    0.771854  0.00857488
         472    0.757361    0.771823  0.00855677
         473     0.75647    0.771791  0.00853874
         474    0.755767    0.771757  0.00852079
         475    0.755257    0.771722  0.00850293
         476    0.754941    0.771687  0.00848514
         477    0.754818    0.771651  0.00846742
         478    0.754887    0.771616  0.00844978
         479     0.75514    0.771582  0.00843221
         480    0.755571    0.771549  0.00841471
         481    0.756169    0.771517  0.00839727
         482    0.756926    0.771486  0.00837991
         483    0.757829    0.771458  0.00836261
         484    0.758863    0.771432  0.00834537
         485    0.760013    0.771409  0.00832819
         486    0.761264    0.771388  0.00831108
         487    0.762596     0.77137  0.00829404
         488    0.763991    0.771355  0.00827706
         489    0.765431    0.771342  0.00826014
         490    0.766895    0.771333  0.00824329
         491    0.768362    0.771327   0.0082265
         492     0.76981    0.771324  0.00820978
         493    0.771219    0.771324  0.00819313
         494     0.77257    0.771326  0.00817654
         495    0.773843    0.771332  0.00816002
         496    0.775017    0.771339  0.00814358
         497     0.77607    0.771349   0.0081272
         498    0.776989     0.77136  0.00811088
         499    0.777757    0.771373  0.00809464
         500    0.778359    0.771387  0.00807846
         501     0.77878    0.771401  0.00806235
         502    0.779008    0.771417  0.00804631
         503    0.779035    0.771432  0.00803032
         504    0.778856    0.771446   0.0080144
         505    0.778464     0.77146  0.00799855
         506    0.777856    0.771473  0.00798275
         507    0.777035    0.771484  0.00796701
         508    0.776001    0.771493  0.00795133
         509    0.774759    0.771499  0.00793571
         510    0.773317    0.771503  0.00792015
         511    0.771684    0.771503  0.00790466
         512    0.769872      0.7715  0.00788922
         513    0.767896    0.771493  0.00787384
         514    0.765773    0.771482  0.00785853
         515    0.763522    0.771466  0.00784329
         516    0.761168    0.771446  0.00782811
         517    0.758734    0.771422  0.00781301
         518    0.756246    0.771393  0.00779798
         519    0.753728    0.771358  0.00778303
         520    0.751209     0.77132  0.00776816
         521    0.748717    0.771276  0.00775337
         522    0.746282    0.771228  0.00773866
         523    0.743934    0.771176  0.00772404
         524    0.741699     0.77112  0.00770951
         525    0.739605     0.77106  0.00769506
         526    0.737679    0.770997  0.00768069
         527    0.735946     0.77093   0.0076664
         528    0.734433    0.770861   0.0076522
         529    0.733162     0.77079  0.00763806
         530    0.732149    0.770717    0.007624
         531    0.731409    0.770643     0.00761
         532    0.730952    0.770568  0.00759606
         533     0.73079    0.770493  0.00758218
         534    0.730929    0.770419  0.00756834
         535    0.731372    0.770346  0.00755454
         536    0.732117    0.770275  0.00754079
         537    0.733159    0.770206  0.00752706
         538    0.734492     0.77014  0.00751336
         539    0.736105    0.770076  0.00749969
         540    0.737989    0.770017  0.00748604
         541     0.74013    0.769962   0.0074724
         542    0.742513    0.769911  0.00745879
         543    0.745119    0.769865  0.00744519
         544    0.747929    0.769825  0.00743161
         545    0.750925     0.76979  0.00741806
         546    0.754086    0.769762  0.00740453
         547     0.75739    0.769739  0.00739103
         548     0.76082    0.769723  0.00737756
         549    0.764352    0.769713  0.00736413
         550    0.767963     0.76971  0.00735074
         551    0.771633    0.769713   0.0073374
         552    0.775336    0.769724  0.00732411
         553    0.779053     0.76974  0.00731089
         554    0.782762    0.769764  0.00729773
         555    0.786443    0.769794  0.00728464
         556    0.790074     0.76983  0.00727163
         557    0.793635    0.769873   0.0072587
         558    0.797102    0.769922  0.00724586
         559    0.800457    0.769977   0.0072331
         560    0.803684    0.770037  0.00722043
         561    0.806768    0.770102  0.00720786
         562    0.809691    0.770173  0.00719538
         563     0.81243    0.770248  0.00718299
         564    0.814975    0.770327  0.00717069
         565     0.81731     0.77041  0.00715848
         566    0.819423    0.770497  0.00714636
         567    0.821303    0.770586  0.00713432
         568     0.82294    0.770679  0.00712235
         569    0.824328    0.770773  0.00711046
         570    0.825458    0.770869  0.00709863
         571    0.826326    0.770966  0.00708686
         572    0.826925    0.771064  0.00707515
         573    0.827255    0.771162  0.00706348
         574    0.827317     0.77126  0.00705185
         575     0.82711    0.771357  0.00704026
         576    0.826637    0.771453  0.00702869
         577    0.825901    0.771547  0.00701714
         578    0.824904    0.771639  0.00700561
         579    0.823651    0.771729  0.00699409
         580    0.822152    0.771816  0.00698257
         581    0.820417      0.7719  0.00697105
         582    0.818455     0.77198  0.00695953
         583    0.816277    0.772056  0.00694801
         584    0.813895    0.772127  0.00693648
         585    0.811322    0.772194  0.00692495
         586    0.808569    0.772257  0.00691341
         587     0.80565    0.772313  0.00690186
         588    0.802578    0.772365  0.00689032
         589    0.799368    0.772411  0.00687877
         590    0.796041    0.772451  0.00686723
         591    0.792612    0.772485  0.00685569
         592    0.789094    0.772513  0.00684417
         593    0.785505    0.772535  0.00683267
         594    0.781861    0.772551  0.00682118
         595    0.778184     0.77256  0.00680972
         596    0.774491    0.772563   0.0067983
         597    0.770802     0.77256  0.00678691
         598    0.767131    0.772551  0.00677557
         599    0.763498    0.772536  0.00676427
         600    0.759921    0.772515  0.00675303
         601    0.756418    0.772488  0.00674185
         602    0.753008    0.772456  0.00673073
         603    0.749708    0.772418  0.00671967
         604    0.746536    0.772375  0.00670868
         605     0.74351    0.772328  0.00669776
         606    0.740648    0.772275  0.00668691
         607    0.737965    0.772219  0.00667614
         608    0.735477    0.772158  0.00666543
         609      0.7332    0.772094  0.00665479
         610    0.731147    0.772027  0.00664422
         611    0.729335    0.771957  0.00663371
         612     0.72778    0.771885  0.00662327
         613    0.726491    0.771811  0.00661288
         614    0.725484    0.771736  0.00660254
         615    0.724769    0.771659  0.00659224
         616    0.724355    0.771583  0.00658199
         617    0.724249    0.771506  0.00657177
         618    0.724455     0.77143  0.00656158
         619     0.72498    0.771355   0.0065514
         620    0.725824    0.771281  0.00654125
         621    0.726988     0.77121   0.0065311
         622    0.728466    0.771141  0.00652097
         623    0.730253    0.771076  0.00651083
         624    0.732344    0.771014  0.00650069
         625    0.734728    0.770955  0.00649055
         626    0.737394    0.770902   0.0064804
         627    0.740327    0.770853  0.00647025
         628    0.743509     0.77081  0.00646009
         629    0.746922    0.770772  0.00644993
         630    0.750545    0.770739  0.00643978
         631     0.75436    0.770714  0.00642962
         632    0.758345    0.770694  0.00641948
         633    0.762476    0.770681  0.00640935
         634    0.766729    0.770675  0.00639924
         635    0.771084    0.770675  0.00638917
         636    0.775519    0.770683  0.00637913
         637    0.780008    0.770698  0.00636913
         638    0.784533    0.770719  0.00635918
         639     0.78907    0.770748   0.0063493
         640    0.793594    0.770784  0.00633948
         641    0.798087    0.770826  0.00632973
         642    0.802531    0.770876  0.00632006
         643     0.80691    0.770932  0.00631048
         644    0.811205    0.770994  0.00630099
         645    0.815403    0.771063   0.0062916
         646    0.819491    0.771138  0.00628231
         647    0.823457    0.771219  0.00627312
         648    0.827291    0.771306  0.00626403
         649    0.830986    0.771397  0.00625506
         650    0.834536    0.771495  0.00624619
         651    0.837934    0.771597  0.00623743
         652    0.841174    0.771703  0.00622877
         653    0.844253    0.771814  0.00622022
         654    0.847167     0.77193  0.00621178
         655    0.849915    0.772049  0.00620344
         656    0.852493    0.772171  0.00619519
         657    0.854902    0.772297  0.00618704
         658    0.857143    0.772426  0.00617898
         659    0.859214    0.772558  0.00617101
         660    0.861117    0.772692  0.00616312
         661    0.862854    0.772829   0.0061553
         662     0.86442    0.772967  0.00614756
         663    0.865814    0.773107  0.00613988
         664    0.867037    0.773248  0.00613227
         665    0.868088    0.773391   0.0061247
         666    0.868968    0.773535  0.00611719
         667    0.869677    0.773679  0.00610971
         668    0.870215    0.773823  0.00610228
         669    0.870583    0.773968  0.00609487
         670    0.870777    0.774112  0.00608749
         671      0.8708    0.774256  0.00608012
         672    0.870651      0.7744  0.00607276
         673    0.870329    0.774542  0.00606541
         674    0.869833    0.774684  0.00605806
         675    0.869166    0.774824   0.0060507
         676    0.868326    0.774962  0.00604333
         677    0.867312    0.775098  0.00603594
         678    0.866124    0.775233  0.00602854
         679    0.864762    0.775365   0.0060211
         680    0.863221    0.775494  0.00601363
         681      0.8615     0.77562  0.00600613
         682    0.859596    0.775743  0.00599858
         683    0.857506    0.775863  0.00599099
         684     0.85523    0.775979  0.00598336
         685    0.852763    0.776091  0.00597567
         686    0.850102    0.776199  0.00596794
         687    0.847242    0.776302  0.00596014
         688     0.84418    0.776401   0.0059523
         689    0.840912    0.776495  0.00594439
         690     0.83744    0.776583  0.00593644
         691    0.833762    0.776666  0.00592842
         692    0.829878    0.776743  0.00592035
         693    0.825788    0.776813  0.00591223
         694    0.821489    0.776878  0.00590406
         695    0.816988    0.776935  0.00589585
         696    0.812287    0.776986   0.0058876
         697    0.807391     0.77703  0.00587931
         698    0.802307    0.777066    0.005871
         699    0.797041    0.777095  0.00586267
         700    0.791603    0.777115  0.00585433
