#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.15618     1.13213   0.0355659
         169     1.16038      1.1323   0.0353558
         170     1.16442     1.13248   0.0351484
         171     1.16829     1.13269   0.0349434
         172     1.17199     1.13292    0.034741
         173     1.17549     1.13317   0.0345411
         174     1.17881     1.13343   0.0343436
         175     1.18192     1.13371   0.0341484
         176     1.18484       1.134   0.0339556
         177     1.18755      1.1343   0.0337652
         178     1.19005     1.13461   0.0335769
         179     1.19234     1.13494   0.0333909
         180     1.19441     1.13527    0.033207
         181     1.19626      1.1356   0.0330253
         182     1.19789     1.13595   0.0328456
         183     1.19931     1.13629   0.0326679
         184     1.20052     1.13664   0.0324922
         185     1.20151     1.13699   0.0323185
         186     1.20229     1.13734   0.0321466
         187     1.20286     1.13769   0.0319767
         188     1.20324     1.13804   0.0318085
         189     1.20341     1.13839    0.031642
         190     1.20339     1.13873   0.0314774
         191     1.20319     1.13907   0.0313144
         192      1.2028      1.1394    0.031153
         193     1.20224     1.13972   0.0309933
         194      1.2015     1.14004   0.0308352
         195     1.20059     1.14035   0.0306786
         196     1.19952     1.14066   0.0305236
         197     1.19828     1.14095     0.03037
         198     1.19688     1.14123    0.030218
         199     1.19534      1.1415   0.0300673
         200     1.19365     1.14176   0.0299181
         201     1.19182     1.14201   0.0297703
         202     1.18985     1.14225   0.0296239
         203     1.18775     1.14247   0.0294788
         204     1.18552     1.14268   0.0293351
         205     1.18316     1.14288   0.0291926
         206     1.18068     1.14307   0.0290515
         207     1.17809     1.14323   0.0289116
         208     1.17539     1.14339   0.0287731
         209     1.17259     1.14353   0.0286357
         210     1.16969     1.14365   0.0284996
         211     1.16668     1.14376   0.0283648
         212     1.16358     1.14386   0.0282311
         213     1.16039     1.14393   0.0280987
         214     1.15711     1.14399   0.0279675
         215     1.15375     1.14404   0.0278374
         216     1.15031     1.14407   0.0277086
         217     1.14681     1.14408   0.0275809
         218     1.14325     1.14408   0.0274544
         219     1.13964     1.14406    0.027329
         220     1.13597     1.14402   0.0272048
         221     1.13227     1.14397   0.0270818
         222     1.12853      1.1439   0.0269599
         223     1.12478     1.14381   0.0268391
         224     1.12101     1.14371   0.0267195
         225     1.11724     1.14359    0.026601
         226     1.11347     1.14346   0.0264836
         227     1.10973     1.14331   0.0263674
         228     1.10602     1.14315   0.0262522
         229     1.10235     1.14297   0.0261382
         230     1.09874     1.14278   0.0260252
         231     1.09519     1.14257   0.0259134
         232     1.09171     1.14235   0.0258026
         233     1.08832     1.14212   0.0256929
         234     1.08503     1.14188   0.0255843
         235     1.08185     1.14162   0.0254767
         236     1.07879     1.14135   0.0253701
         237     1.07586     1.14108   0.0252646
         238     1.07307     1.14079   0.0251601
         239     1.07043      1.1405   0.0250565
         240     1.06795      1.1402   0.0249539
         241     1.06564     1.13989   0.0248523
         242      1.0635     1.13957   0.0247516
         243     1.06155     1.13925   0.0246518
         244     1.05978     1.13892    0.024553
         245     1.05821     1.13859   0.0244549
         246     1.05683     1.13826   0.0243578
         247     1.05566     1.13793   0.0242615
         248     1.05469     1.13759    0.024166
         249     1.05393     1.13726   0.0240713
         250     1.05339     1.13692   0.0239773
         251     1.05307     1.13659   0.0238841
         252     1.05296     1.13625   0.0237916
         253     1.05307     1.13593   0.0236999
         254     1.05341      1.1356   0.0236088
         255     1.05397     1.13528   0.0235184
         256     1.05476     1.13497   0.0234286
         257     1.05578     1.13466   0.0233395
         258     1.05704     1.13436   0.0232509
         259     1.05852     1.13406    0.023163
         260     1.06024     1.13378   0.0230757
         261     1.06219     1.13351   0.0229889
         262     1.06436     1.13324   0.0229027
         263     1.06675     1.13299    0.022817
         264     1.06935     1.13275   0.0227318
         265     1.07216     1.13252   0.0226472
         266     1.07517      1.1323   0.0225631
         267     1.07838      1.1321   0.0224795
         268     1.08178     1.13191   0.0223964
         269     1.08535     1.13174   0.0223138
         270     1.08908     1.13158   0.0222317
         271     1.09295     1.13144   0.0221501
         272     1.09694     1.13131   0.0220691
         273     1.10105      1.1312   0.0219885
         274     1.10524     1.13111   0.0219084
         275     1.10951     1.13103   0.0218289
         276     1.11383     1.13097   0.0217499
         277     1.11817     1.13092   0.0216715
         278     1.12252     1.13089   0.0215935
         279     1.12685     1.13088   0.0215161
         280     1.13115     1.13088   0.0214393
         281     1.13539     1.13089    0.021363
         282     1.13954     1.13092   0.0212873
         283     1.14361     1.13097   0.0212121
         284     1.14755     1.13103   0.0211375
         285     1.15137      1.1311   0.0210634
         286     1.15505     1.13118   0.0209899
         287     1.15856     1.13128    0.020917
         288     1.16191     1.13138   0.0208447
         289     1.16508      1.1315   0.0207729
