#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     65.7413     65.7413           0
           2     70.8327      68.287     1.80008
           3        71.8      69.458     1.53437
           4     77.0295     71.3509     2.00289
           5     68.7042     70.8215      1.6708
           6     75.5051     71.6021     1.56408
           7     79.3049     72.7025     1.68381
           8      84.266      74.148     1.99971
           9     75.5046     74.2987     1.78319
          10     80.4819      74.917     1.70871
          11     77.4836     75.1503     1.56922
          12     77.3497     75.3336     1.44912
          13     79.9501     75.6887     1.38047
          14     76.0538     75.7148     1.28212
          15     79.4386     75.9631     1.22044
          16     77.1594     76.0378     1.14645
          17     83.1262     76.4548     1.15234
          18      79.407     76.6188     1.09993
          19     73.4497      76.452     1.05461
          20     79.7875     76.6188     1.01498
