#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.55526    -0.55526           0
           2    -0.55278    -0.55402 0.000876812
           3    -0.55506   -0.554367 0.000649467
           4     -0.5561     -0.5548 0.000614898
           5   -0.556556   -0.555151 0.000583658
           6   -0.552892   -0.554775  0.00059558
           7     -0.5558   -0.554921 0.000528202
           8   -0.554328   -0.554847 0.000467351
           9   -0.553568   -0.554705 0.000436495
          10   -0.553696   -0.554604 0.000404337
          11   -0.554324   -0.554579  0.00036838
          12   -0.555968   -0.554694 0.000355413
          13   -0.555688   -0.554771 0.000336192
          14   -0.551868   -0.554563 0.000370641
          15    -0.55364   -0.554502 0.000351007
          16   -0.556144   -0.554605 0.000343747
          17    -0.55426   -0.554584 0.000324123
          18   -0.555368   -0.554628 0.000309027
          19   -0.554848   -0.554639  0.00029298
          20   -0.551812   -0.554498  0.00031057
