#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.15911     2.15911           0
           2     2.18024     2.16968   0.0074697
           3     2.15565       2.165  0.00627508
           4     2.17525     2.16756  0.00520351
           5     2.21288     2.17663  0.00911289
           6     2.17326     2.17607  0.00761133
           7     2.24445     2.18584   0.0111522
           8     2.16536     2.18328   0.0100477
           9     2.18957     2.18398  0.00895559
          10     2.18891     2.18447  0.00807361
          11     2.13958     2.18039  0.00830698
          12     2.19779     2.18184  0.00774034
          13     2.08322     2.17425   0.0102063
          14     2.14009     2.17181  0.00976465
          15     2.17844     2.17225  0.00912365
          16     2.11354     2.16858  0.00926205
          17     2.16172     2.16818  0.00872601
          18      2.2072     2.17035  0.00850616
          19     2.08872     2.16605  0.00907888
          20     2.15784     2.16564  0.00863423
