#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.415883    0.415883           0
           2    0.414691    0.415287 0.000421419
           3    0.406692    0.412422  0.00235597
           4    0.402578    0.409961  0.00276841
           5    0.407053    0.409379  0.00227501
           6    0.419857    0.411126  0.00247704
           7    0.397677    0.409204  0.00276978
           8    0.413467    0.409737  0.00247427
           9    0.412386    0.410031  0.00221678
          10    0.403766    0.409405  0.00208175
          11    0.390038    0.407644  0.00252974
          12    0.406895    0.407582   0.0023197
          13    0.414521    0.408116  0.00220182
          14    0.419897    0.408957   0.0021995
          15    0.403646    0.408603  0.00208117
          16    0.405195     0.40839  0.00196197
          17     0.40639    0.408272  0.00185008
          18    0.417612    0.408791  0.00181861
          19    0.410293     0.40887  0.00172461
          20    0.397643    0.408309  0.00172733
