#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.732828    0.732828           0
           2    0.732736    0.732782 3.25269e-05
           3    0.722052    0.729205  0.00292042
           4    0.705034    0.723162  0.00567312
           5    0.691308    0.716792  0.00728482
           6    0.714516    0.716412  0.00608055
           7    0.792894    0.727338   0.0113792
           8    0.699228    0.723824   0.0104853
           9    0.689352    0.719994  0.00999541
          10    0.551976    0.703192   0.0183029
          11    0.572524    0.691313    0.020128
          12    0.844054    0.704042    0.022112
          13    0.641216    0.699209   0.0209325
          14     0.75405    0.703126   0.0198005
          15    0.631532    0.698353    0.019047
          16    0.800626    0.704745   0.0188987
          17    0.751794    0.707513   0.0179885
          18    0.668402     0.70534   0.0171199
          19    0.649208    0.702386   0.0164718
          20    0.799424    0.707238   0.0163472
