#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     2.74265     2.74299 1.38613e-05
         153     2.74264     2.74299 1.39554e-05
         154     2.74263     2.74298  1.4054e-05
         155     2.74263     2.74298 1.41471e-05
         156     2.74262     2.74298 1.42421e-05
         157     2.74261     2.74298 1.43414e-05
         158     2.74261     2.74298 1.44424e-05
         159      2.7426     2.74297 1.45403e-05
         160     2.74259     2.74297 1.46398e-05
         161      2.7426     2.74297 1.47317e-05
         162      2.7426     2.74297 1.48185e-05
         163     2.74259     2.74296 1.49072e-05
         164     2.74259     2.74296 1.49933e-05
         165     2.74258     2.74296 1.50769e-05
         166     2.74258     2.74296 1.51603e-05
         167     2.74257     2.74295 1.52413e-05
         168     2.74257     2.74295   1.532e-05
         169     2.74256     2.74295 1.54007e-05
         170     2.74256     2.74295 1.54772e-05
         171     2.74256     2.74295 1.55495e-05
         172     2.74255     2.74294 1.56259e-05
         173     2.74255     2.74294 1.56964e-05
         174     2.74255     2.74294 1.57631e-05
         175     2.74255     2.74294   1.583e-05
         176     2.74255     2.74293 1.58934e-05
         177     2.74254     2.74293 1.59552e-05
         178     2.74254     2.74293 1.60156e-05
         179     2.74254     2.74293 1.60709e-05
         180     2.74254     2.74293 1.61232e-05
         181     2.74254     2.74292 1.61726e-05
         182     2.74254     2.74292  1.6221e-05
         183     2.74253     2.74292 1.62733e-05
         184     2.74252     2.74292 1.63263e-05
         185     2.74252     2.74291  1.6378e-05
         186     2.74251     2.74291  1.6432e-05
         187     2.74251     2.74291 1.64848e-05
         188      2.7425     2.74291 1.65381e-05
         189      2.7425     2.74291 1.65919e-05
         190      2.7425      2.7429 1.66429e-05
         191      2.7425      2.7429 1.66913e-05
         192      2.7425      2.7429 1.67372e-05
         193     2.74248      2.7429 1.67884e-05
         194     2.74248      2.7429  1.6837e-05
         195     2.74248     2.74289 1.68831e-05
         196     2.74248     2.74289 1.69268e-05
         197     2.74248     2.74289 1.69697e-05
         198     2.74248     2.74289 1.70104e-05
         199     2.74248     2.74288 1.70489e-05
         200     2.74247     2.74288 1.70882e-05
         201     2.74247     2.74288 1.71268e-05
         202     2.74247     2.74288 1.71634e-05
         203     2.74247     2.74288 1.71981e-05
         204     2.74246     2.74287 1.72349e-05
         205     2.74245     2.74287 1.72726e-05
         206     2.74245     2.74287 1.73109e-05
         207     2.74244     2.74287 1.73501e-05
         208     2.74244     2.74287 1.73873e-05
         209     2.74244     2.74286 1.74252e-05
         210     2.74243     2.74286 1.74639e-05
         211     2.74243     2.74286  1.7502e-05
         212     2.74243     2.74286 1.75382e-05
         213     2.74243     2.74286 1.75726e-05
         214     2.74243     2.74285 1.76053e-05
         215     2.74243     2.74285 1.76339e-05
         216     2.74243     2.74285 1.76621e-05
         217     2.74243     2.74285 1.76888e-05
         218     2.74242     2.74285 1.77164e-05
         219     2.74242     2.74284 1.77414e-05
         220     2.74242     2.74284  1.7765e-05
         221     2.74242     2.74284 1.77895e-05
         222     2.74241     2.74284  1.7815e-05
         223      2.7424     2.74284 1.78414e-05
         224      2.7424     2.74283 1.78676e-05
         225      2.7424     2.74283 1.78936e-05
         226     2.74239     2.74283 1.79204e-05
         227     2.74238     2.74283 1.79493e-05
         228     2.74239     2.74283 1.79757e-05
         229     2.74238     2.74282  1.8003e-05
         230     2.74238     2.74282 1.80278e-05
         231     2.74238     2.74282 1.80514e-05
         232     2.74238     2.74282 1.80748e-05
         233     2.74237     2.74282 1.80992e-05
         234     2.74237     2.74282 1.81213e-05
         235     2.74236     2.74281 1.81453e-05
         236     2.74236     2.74281 1.81714e-05
         237     2.74235     2.74281 1.81973e-05
         238     2.74235     2.74281  1.8223e-05
         239     2.74234     2.74281 1.82506e-05
         240     2.74234      2.7428  1.8277e-05
         241     2.74234      2.7428 1.83043e-05
         242     2.74233      2.7428 1.83303e-05
         243     2.74234      2.7428 1.83542e-05
         244     2.74233      2.7428 1.83769e-05
         245     2.74233     2.74279 1.83986e-05
         246     2.74233     2.74279 1.84202e-05
         247     2.74233     2.74279 1.84398e-05
         248     2.74233     2.74279 1.84594e-05
         249     2.74232     2.74279 1.84789e-05
         250     2.74232     2.74278 1.84995e-05
