#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         153     2.77925     2.77637 0.000101907
         154     2.77931     2.77639 0.000103024
         155     2.77938     2.77641 0.000104147
         156     2.77944     2.77643 0.000105276
         157      2.7795     2.77645 0.000106412
         158     2.77957     2.77647 0.000107554
         159     2.77963     2.77649 0.000108702
         160     2.77969     2.77651 0.000109857
         161     2.77976     2.77653 0.000111018
         162     2.77983     2.77655 0.000112185
         163     2.77989     2.77657 0.000113359
         164     2.77996     2.77659  0.00011454
         165     2.78003     2.77661 0.000115727
         166      2.7801     2.77663  0.00011692
         167     2.78016     2.77665  0.00011812
         168     2.78023     2.77667 0.000119327
         169      2.7803     2.77669  0.00012054
         170     2.78037     2.77672  0.00012176
         171     2.78045     2.77674 0.000122987
         172     2.78052     2.77676  0.00012422
         173     2.78059     2.77678  0.00012546
         174     2.78066      2.7768 0.000126707
         175     2.78074     2.77683 0.000127961
         176     2.78081     2.77685 0.000129222
         177     2.78089     2.77687 0.000130489
         178     2.78096     2.77689 0.000131764
         179     2.78104     2.77692 0.000133046
         180     2.78112     2.77694 0.000134335
         181     2.78119     2.77696 0.000135631
         182     2.78127     2.77699 0.000136934
         183     2.78135     2.77701 0.000138244
         184     2.78143     2.77704 0.000139561
         185     2.78151     2.77706 0.000140886
         186     2.78159     2.77708 0.000142217
         187     2.78167     2.77711 0.000143557
         188     2.78175     2.77713 0.000144903
         189     2.78184     2.77716 0.000146257
         190     2.78192     2.77718 0.000147618
         191       2.782     2.77721 0.000148987
         192     2.78209     2.77723 0.000150363
         193     2.78217     2.77726 0.000151747
         194     2.78226     2.77729 0.000153139
         195     2.78235     2.77731 0.000154538
         196     2.78244     2.77734 0.000155944
         197     2.78252     2.77736 0.000157359
         198     2.78261     2.77739 0.000158781
         199      2.7827     2.77742 0.000160211
         200     2.78279     2.77744 0.000161649
         201     2.78288     2.77747 0.000163095
         202     2.78298      2.7775 0.000164548
         203     2.78307     2.77753  0.00016601
         204     2.78316     2.77755  0.00016748
         205     2.78326     2.77758 0.000168957
         206     2.78335     2.77761 0.000170443
         207     2.78345     2.77764 0.000171937
         208     2.78354     2.77767  0.00017344
         209     2.78364      2.7777  0.00017495
         210     2.78374     2.77772 0.000176469
         211     2.78384     2.77775 0.000177996
         212     2.78394     2.77778 0.000179532
         213     2.78404     2.77781 0.000181076
         214     2.78414     2.77784 0.000182629
         215     2.78424     2.77787  0.00018419
         216     2.78434      2.7779  0.00018576
         217     2.78445     2.77793 0.000187339
         218     2.78455     2.77796 0.000188927
         219     2.78466     2.77799 0.000190523
         220     2.78476     2.77802 0.000192128
         221     2.78487     2.77805 0.000193742
