#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.888188    0.888188           0
           2    0.928008    0.908098   0.0140785
           3    0.949096    0.921764   0.0145807
           4     0.94002    0.926328   0.0116279
           5      0.8942    0.919902   0.0109345
           6     0.86608    0.910932    0.012251
           7    0.950892    0.916641   0.0117559
           8    0.733882    0.893796   0.0237162
           9    0.925906    0.897364   0.0213478
          10    0.927212    0.900348   0.0194206
          11    0.899052    0.900231   0.0176554
          12     0.94964    0.904348   0.0166573
          13     0.94356    0.907364   0.0156467
          14    0.939956    0.909692   0.0147012
          15    0.865616    0.906754   0.0140117
          16    0.946832    0.909259    0.013358
          17    0.901174    0.908783   0.0125807
          18     0.79194    0.902292   0.0134526
          19    0.890516    0.901672   0.0127589
          20    0.903908    0.901784   0.0121214
