#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     85.9087     85.9087           0
           2     89.7635     87.8361     1.36288
           3     93.1225     89.5982     1.70166
           4     91.9683     90.1908     1.37554
           5     86.5629     89.4652     1.27754
           6     89.5559     89.4803     1.06471
           7     92.8996     89.9688     1.01851
           8     88.9025     89.8355    0.899877
           9      90.864     89.9498    0.807114
          10     89.7737     89.9322    0.726595
          11     90.4192     89.9764    0.661889
          12     92.4876     90.1857    0.638955
          13     91.8954     90.3172    0.603188
          14      91.737     90.4186    0.568565
          15     84.8492     90.0473    0.640523
          16     91.8035     90.1571    0.609822
          17     88.0909     90.0356    0.585937
          18     81.6218     89.5681    0.715952
          19     89.4353     89.5611    0.678304
          20     89.6355     89.5649    0.644399
