#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.324475    0.324475           0
           2    0.267107    0.295791   0.0202827
           3    0.201956    0.264513   0.0288973
           4    0.238261     0.25795   0.0224059
           5    0.335793    0.273518   0.0226981
           6    0.296811      0.2774   0.0192442
           7    0.199023    0.266204   0.0194819
           8    0.289287    0.269089    0.017259
           9    0.249258    0.266886   0.0154814
          10    0.254918    0.265689   0.0139794
          11    0.278772    0.266878    0.012759
          12    0.224247    0.263326   0.0121803
          13    0.224287    0.260323   0.0116077
          14    0.214387    0.257042   0.0112327
          15    0.366353    0.264329   0.0126284
          16    0.238199    0.262696   0.0119443
          17    0.301626    0.264986   0.0114591
          18    0.387653    0.271801   0.0126881
          19    0.299451    0.273256   0.0121035
          20    0.269028    0.273045   0.0115002
