#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.320645    0.320645           0
           2    0.322166    0.321405 0.000537521
           3    0.320346    0.321052 0.000459865
           4    0.317921    0.320269 0.000760703
           5    0.320022     0.32022 0.000610166
           6    0.320659    0.320293 0.000512835
           7    0.315207    0.319567  0.00080358
           8    0.330062    0.320878  0.00141434
           9     0.32663    0.321518  0.00139412
          10    0.319089    0.321275  0.00127569
          11    0.319556    0.321118  0.00116925
          12    0.317897     0.32085  0.00110221
          13    0.319815     0.32077  0.00102029
          14    0.328733    0.321339  0.00109452
          15     0.32051    0.321284  0.00102294
          16    0.320311    0.321223 0.000960814
          17    0.324294    0.321404 0.000921117
          18    0.323771    0.321535 0.000879283
          19    0.324901    0.321712 0.000850667
          20    0.315672     0.32141  0.00086007
