#      	   X:		    Y:		  	 Z:
    -0.143679      4.79091     -4.80248
      1.33097      3.27659     -2.19119
      1.33097      3.27659     -2.19119
    -0.785701     0.493206     -3.33402
    -0.644458       1.3182     -2.46561
    -0.279001      1.00239     -1.45627
    -0.279001      1.00239     -1.45627
    -0.279001      1.00239     -1.45627
    -0.279001      1.00239     -1.45627
    -0.279001      1.00239     -1.45627
    -0.279001      1.00239     -1.45627
      1.28582      1.24344     -2.63449
      1.28582      1.24344     -2.63449
      1.28582      1.24344     -2.63449
    -0.570315     0.296022     -3.86793
     -1.29842     -0.57607    -0.592942
     0.256549     0.335534     -1.20309
     0.256549     0.335534     -1.20309
     0.256549     0.335534     -1.20309
     -1.22805      2.10547     -2.00103
     0.134749      1.60697     -1.58298
     0.134749      1.60697     -1.58298
     0.849992    -0.409123     -1.38182
     -1.71246     0.294282     -1.62455
     -1.71246     0.294282     -1.62455
    -0.757888     0.466707     -3.94271
     0.242114    -0.970755     -5.43742
    -0.922097     -2.81604     -5.79197
     -0.66461     -2.79664     -4.40164
     -0.66461     -2.79664     -4.40164
   -0.0618795     -0.70628      -3.6044
   -0.0618795     -0.70628      -3.6044
      2.58824    -0.167728      -4.1211
      2.96177      0.95061      -1.7037
      1.69512      2.83582     -3.90726
     0.488407      2.49249     -4.78673
     0.488407      2.49249     -4.78673
     0.711119      1.31131     -2.07936
      1.07871     -1.39034     -3.03395
   -0.0513019    -0.729242      -2.2499
     -2.82627     -2.43932     -1.35059
     -1.82806     -1.01588     -3.19404
     -1.82806     -1.01588     -3.19404
     -1.82806     -1.01588     -3.19404
      -1.3047      1.57426     -4.46507
     -1.34899      2.07967     -2.05025
     -1.73284      1.01751     -1.88141
     -1.73284      1.01751     -1.88141
     -1.73284      1.01751     -1.88141
     -1.73284      1.01751     -1.88141
     -3.28826     0.105934     -3.77899
     -3.28826     0.105934     -3.77899
     -1.85092     0.163924     -3.07829
     -2.21768    -0.794104     -3.26358
     -2.21768    -0.794104     -3.26358
     -2.21768    -0.794104     -3.26358
     -2.21768    -0.794104     -3.26358
     -2.33725    -0.339341     -3.41869
     -3.03784    -0.105344     -3.23513
     -3.03784    -0.105344     -3.23513
     -3.03784    -0.105344     -3.23513
     -1.59183    -0.599082     -5.65135
     -2.26114    -0.913788     -5.82867
    -0.336334    -0.533034     -5.22943
     -1.72673      1.38415     -6.14963
     -1.85988     0.854562     -5.30249
    -0.294758   0.00214758     -4.62588
     -1.11014    -0.438042     -4.53174
     -1.11014    -0.438042     -4.53174
     -1.11014    -0.438042     -4.53174
     -1.48487     -2.41126     -2.73494
     -1.48487     -2.41126     -2.73494
     -1.48487     -2.41126     -2.73494
      -1.5866     -5.81962     -2.62648
      -1.5866     -5.81962     -2.62648
     -2.20769      -4.3847     -4.31213
     -2.20769      -4.3847     -4.31213
      -1.4193     -3.85338     -4.20397
    -0.514283     -5.14126     -4.28577
    -0.514283     -5.14126     -4.28577
     -1.24676     -4.41666     -1.55246
     -1.60249     -4.39688     -5.06061
     -1.60249     -4.39688     -5.06061
     -1.60249     -4.39688     -5.06061
    -0.718522     -3.16859      -6.0153
    -0.718522     -3.16859      -6.0153
    -0.718522     -3.16859      -6.0153
     0.503932     -1.16245     -4.61624
      1.10517     -2.04442     -1.21376
      1.10517     -2.04442     -1.21376
      1.47518     -1.53456     -3.87159
     0.269082     -2.19515     -5.41587
     -2.17421    -0.218361     -2.42584
     -2.17421    -0.218361     -2.42584
     -2.17421    -0.218361     -2.42584
     -2.17421    -0.218361     -2.42584
     -2.17421    -0.218361     -2.42584
    -0.671958     -0.19036     -3.51218
    -0.671958     -0.19036     -3.51218
    -0.671958     -0.19036     -3.51218
    -0.671958     -0.19036     -3.51218
    -0.671958     -0.19036     -3.51218
    -0.308392      1.42098     -3.29252
     0.874734     -1.44097     -1.98301
     -1.11851     -1.33916     -2.51739
     -1.11851     -1.33916     -2.51739
    -0.630556    -0.850222      -3.1421
    -0.630556    -0.850222      -3.1421
    -0.763544   0.00816498     -1.95324
    -0.162297      1.16008     -3.85515
    -0.162297      1.16008     -3.85515
     -1.40484      1.38693     -3.14851
     -1.52136      2.02677     -3.33815
     -1.52136      2.02677     -3.33815
     -1.52136      2.02677     -3.33815
     -1.52136      2.02677     -3.33815
     -0.19221       1.6693     -2.42863
     0.118409      2.46238     -4.33742
     0.118409      2.46238     -4.33742
    -0.863089      3.33478     -4.69225
    -0.863089      3.33478     -4.69225
    -0.863089      3.33478     -4.69225
      -0.6287      3.07679     -5.14331
      0.89647      1.42649     -4.74066
     0.926083    -0.312237     -4.00239
     -1.24834     -0.84232     -3.63492
      0.87303   -0.0209046    -0.885702
      0.87303   -0.0209046    -0.885702
    -0.210463      1.94565     -3.91335
    -0.210463      1.94565     -3.91335
    -0.210463      1.94565     -3.91335
     -1.49571      1.57229     -4.22285
     -1.24495      1.43364     -2.40814
     -1.24495      1.43364     -2.40814
     -3.38886      1.93638      -4.0767
     -3.38886      1.93638      -4.0767
     -4.10201     0.810268     -4.52447
     -4.22523    -0.134765     -2.70617
     -4.22523    -0.134765     -2.70617
     -4.22523    -0.134765     -2.70617
      -2.5697    -0.283371     -0.80044
     -2.58908    -0.344038     -3.64816
     -2.64373    -0.832333     -4.91425
     -2.64373    -0.832333     -4.91425
     -1.01051     -0.44888     -5.83895
    -0.335434     -1.32267     -4.93305
      -0.5511    -0.402123     -4.17913
